"participant_id","ismale","tsnr","fd_mean","RT","age_norm","Hum_Com_alpha_mean","Hum_Com_alpha_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-1.05824178694308,0.0730337478050245,-0.0772873637843391
"sub-105",-0.43,1.44,-1.21,1.03,-1.0157312194334,-0.092497875659513,0.0939529800386359
"sub-106",-0.43,0.84,-0.3,0.01,-1.05824178694308,-0.248255037303623,0.262713854293806
"sub-107",0.57,0.47,-1.18,0.16,-0.930710084414038,1.6678562273941,-1.55229061018844
"sub-108",-0.43,0.42,-0.89,-1.25,-1.0157312194334,-0.844948914563348,0.858240991348354
"sub-109",-0.43,0.68,-0.33,1.43,-0.718157246865643,0.165924111118707,-0.119159602829639
"sub-110",0.57,0.77,-1.29,-1.26,-1.05824178694308,0.157493249739291,-0.166665938035579
"sub-111",0.57,-0.69,0.15,-1.25,1.49239226363767,0.16152582455956,0.241059890950383
"sub-112",-0.43,0.82,-0.93,0.99,-0.930710084414038,0.300334801894438,-0.279524628823646
"sub-113",-0.43,-1.14,0.37,0.81,-0.463093841807568,-5.96591522766766,2.76277860267889
"sub-115",-0.43,0.75,-0.52,0.94,-1.0157312194334,-0.123248057002003,0.125186899231441
"sub-116",-0.43,-0.45,-0.46,0.18,-0.84568894939468,-0.181404678163713,0.153411931691551
"sub-117",-0.43,1.08,-0.89,0.31,-1.05824178694308,0.065340601639743,-0.0691461550391773
"sub-118",-0.43,-1.06,0.78,0.21,-1.0157312194334,0.266731858412194,-0.270927875806754
"sub-121",-0.43,1.82,-1.13,0.28,-1.05824178694308,-1.44479033690307,1.52893750788239
"sub-122",-0.43,1.76,-1.01,1.49,-1.05824178694308,0.0904259029309075,-0.0956924691035447
"sub-124",0.57,0.75,-0.62,0.57,-1.05824178694308,0.123009902323122,-0.130174218846114
"sub-125",-0.43,1.78,-1.06,1.67,-1.0157312194334,0.296423730188767,-0.301086836933633
"sub-126",0.57,-0.88,-0.42,0.36,-1.05824178694308,0.0572629644326616,-0.0605980618068776
"sub-127",-0.43,0.73,-0.59,0.8,1.32234999359895,-0.497460417040853,-0.657816779289705
"sub-128",0.57,0.35,0.35,-1.27,0.769712615973126,1.47224089939328,1.13320239401463
"sub-129",0.57,-1.14,2.26,-1.26,0.982265453521521,-0.0955850699345849,-0.0938899120691814
"sub-130",-0.43,-1.26,1.24,1.18,0.982265453521521,0.0710550280024939,0.0697948993058541
"sub-132",-0.43,-0.11,-0.01,1.63,1.19481829106992,0.0397945536249004,0.0475472605559937
"sub-133",0.57,1.06,0.05,0.91,1.06728658854088,0.112139361481008,0.119684836556218
"sub-134",-0.43,-0.77,0.12,-1.25,0.854733750992484,0.132178228147776,0.112977192744289
"sub-135",0.57,-0.65,1.02,-1.25,1.0247760210312,1.36224244440797,1.39599339186021
"sub-136",-0.43,0.22,-0.47,-1.24,0.854733750992484,0.133782153242828,0.114348121657094
"sub-137",0.57,-0.55,0.79,-0.79,1.15230772356024,-0.244271750385613,-0.28147622461692
"sub-138",0.57,-1.7,2.96,-0.17,0.982265453521521,0.061336537948042,0.0602487622649735
"sub-140",0.57,-0.74,0.95,-0.42,0.982265453521521,0.157774849852735,0.154976784444887
"sub-141",-0.43,0.51,-0.03,-0.91,1.32234999359895,0.076655074250061,0.101364836943896
"sub-142",-0.43,-0.16,0.41,1.53,1.06728658854088,0.140294967450029,0.149734937199195
"sub-143",-0.43,1.6,-0.25,-1.26,1.19481829106992,0.052781089104613,0.0630638106847827
"sub-144",0.57,-2.07,1.86,-1.26,1.15230772356024,0.049798348150827,0.0573830211947396
"sub-147",-0.43,-1,0.68,0.01,0.854733750992484,0.173892698974706,0.148631958864857
"sub-149",0.57,-0.94,1.68,-1.25,0.897244318502163,0.149408181485867,0.134055641975934
"sub-150",-0.43,-0.54,-0.21,0.64,-0.930710084414038,0.00385174959642301,-0.0035848621920286
"sub-151",-0.43,-1.12,1,-1.25,0.854733750992484,0.209041878935197,0.178675149296798
"sub-152",0.57,-1.25,1.56,-1.26,0.897244318502163,0.0629001183997391,0.0564367738672793
"sub-153",0.57,0.01,-0.61,-1.24,-0.675646679355964,-0.189057762165862,0.127736249213834
"sub-154",-0.43,0.28,0.06,0.32,0.939754886011842,1.68162592417394,1.58031617868664
"sub-155",0.57,0.9,-1.23,0.38,-0.633136111846285,-0.315340200748923,0.199653268611
"sub-156",-0.43,-1.21,0.66,1.02,-0.633136111846285,0.0714343391251873,-0.04522765972603
"sub-157",0.57,-0.81,-0.33,0.2,-0.84568894939468,0.214795454550766,-0.18165014229379
"sub-158",0.57,-0.34,-0.65,1.02,-0.803178381885001,0.359957118729727,-0.289109776169329
"sub-159",-0.43,1.22,-1.18,-0.49,-0.888199516904359,0.0284314060721469,-0.0252527611381926
