"participant_id","ismale","tsnr","fd_mean","RT","young","old","Hum_Com_epsilon_young","Hum_Com_epsilon_old"
"sub-104",0.57,0.34,-1.11,0.26,1,0,-0.000523856507175433,0
"sub-105",-0.43,1.44,-1.21,1.03,1,0,-0.0152568314790496,0
"sub-106",-0.43,0.84,-0.3,0.01,1,0,0.00660035033024068,0
"sub-107",0.57,0.47,-1.18,0.16,1,0,0.0886707946391296,0
"sub-108",-0.43,0.42,-0.89,-1.25,1,0,-0.013911642650203,0
"sub-109",-0.43,0.68,-0.33,1.43,1,0,-0.0029656550770214,0
"sub-110",0.57,0.77,-1.29,-1.26,1,0,0.00453468628236975,0
"sub-111",0.57,-0.69,0.15,-1.25,0,1,0,-0.001117104788546
"sub-112",-0.43,0.82,-0.93,0.99,1,0,0.000443350456498037,0
"sub-113",-0.43,-1.14,0.37,0.81,1,0,-0.0583314812416675,0
"sub-115",-0.43,0.75,-0.52,0.94,1,0,0.00164100929038343,0
"sub-116",-0.43,-0.45,-0.46,0.18,1,0,0.00593250045496853,0
"sub-117",-0.43,1.08,-0.89,0.31,1,0,0.00119452814446674,0
"sub-118",-0.43,-1.06,0.78,0.21,1,0,0.0030520501167015,0
"sub-121",-0.43,1.82,-1.13,0.28,1,0,-0.0363728631175407,0
"sub-122",-0.43,1.76,-1.01,1.49,1,0,2.17962202255471e-05,0
"sub-124",0.57,0.75,-0.62,0.57,1,0,-0.00236302720644073,0
"sub-125",-0.43,1.78,-1.06,1.67,1,0,0.00489572573226355,0
"sub-126",0.57,-0.88,-0.42,0.36,1,0,-0.00199074228486285,0
"sub-127",-0.43,0.73,-0.59,0.8,0,1,0,0.00541347232200348
"sub-128",0.57,0.35,0.35,-1.27,0,1,0,0.00724225021375153
"sub-129",0.57,-1.14,2.26,-1.26,0,1,0,-0.00272952543713201
"sub-130",-0.43,-1.26,1.24,1.18,0,1,0,-0.0029869573691196
"sub-132",-0.43,-0.11,-0.01,1.63,0,1,0,-0.00319603023902953
"sub-133",0.57,1.06,0.05,0.91,0,1,0,0.0033301087092679
"sub-134",-0.43,-0.77,0.12,-1.25,0,1,0,-0.00253748946570221
"sub-135",0.57,-0.65,1.02,-1.25,0,1,0,0.0063679284759081
"sub-136",-0.43,0.22,-0.47,-1.24,0,1,0,0.0013315825848547
"sub-137",0.57,-0.55,0.79,-0.79,0,1,0,0.00291548353107274
"sub-138",0.57,-1.7,2.96,-0.17,0,1,0,0.0141646934800679
"sub-140",0.57,-0.74,0.95,-0.42,0,1,0,-0.00331705371340992
"sub-141",-0.43,0.51,-0.03,-0.91,0,1,0,-0.00332812470080124
"sub-142",-0.43,-0.16,0.41,1.53,0,1,0,0.0058671284713415
"sub-143",-0.43,1.6,-0.25,-1.26,0,1,0,0.00251429787910466
"sub-144",0.57,-2.07,1.86,-1.26,0,1,0,0.00233784126362286
"sub-147",-0.43,-1,0.68,0.01,0,1,0,-0.00242317470167908
"sub-149",0.57,-0.94,1.68,-1.25,0,1,0,0.000723641245069566
"sub-150",-0.43,-0.54,-0.21,0.64,1,0,-0.038223563219145,0
"sub-151",-0.43,-1.12,1,-1.25,0,1,0,0.00603175583601324
"sub-152",0.57,-1.25,1.56,-1.26,0,1,0,-0.00256910644628754
"sub-153",0.57,0.01,-0.61,-1.24,1,0,-0.00122986560300638,0
"sub-154",-0.43,0.28,0.06,0.32,0,1,0,0.00640253106576757
"sub-155",0.57,0.9,-1.23,0.38,1,0,0.00734138099611484,0
"sub-156",-0.43,-1.21,0.66,1.02,1,0,-0.000717167792681331,0
"sub-157",0.57,-0.81,-0.33,0.2,1,0,-0.000353319537415499,0
"sub-158",0.57,-0.34,-0.65,1.02,1,0,0.00225164413958673,0
"sub-159",-0.43,1.22,-1.18,-0.49,1,0,0.00522205069712191,0
