participant_id,younger,older,ismale,tsnr,fd_mean,RT
sub-104,1.0000,0.0000,0.5740,0.335345346,-1.109117337,0.2560
sub-105,1.0000,0.0000,-0.4260,1.43926098,-1.214960371,1.0300
sub-106,1.0000,0.0000,-0.4260,0.84197575,-0.295734173,0.0068
sub-107,1.0000,0.0000,0.5740,0.467173848,-1.179449315,0.1640
sub-108,1.0000,0.0000,-0.4260,0.4199414,-0.888679465,-1.2500
sub-109,1.0000,0.0000,-0.4260,0.680348289,-0.333947122,1.4300
sub-110,1.0000,0.0000,0.5740,0.771201523,-1.292912535,-1.2600
sub-111,0.0000,1.0000,0.5740,-0.691764793,0.146433278,-1.2500
sub-112,1.0000,0.0000,-0.4260,0.817466001,-0.931557862,0.9910
sub-113,1.0000,0.0000,-0.4260,-1.142227911,0.36502216,0.8130
sub-115,1.0000,0.0000,-0.4260,0.750329892,-0.517222174,0.9400
sub-116,1.0000,0.0000,-0.4260,-0.449037222,-0.458864599,0.1830
sub-117,1.0000,0.0000,-0.4260,1.075760056,-0.887283578,0.3080
sub-118,1.0000,0.0000,-0.4260,-1.060535185,0.783193711,0.2140
sub-121,1.0000,0.0000,-0.4260,1.822941324,-1.128909272,0.2760
sub-122,1.0000,0.0000,-0.4260,1.759997806,-1.012660134,1.4900
sub-124,1.0000,0.0000,0.5740,0.750570699,-0.622688021,0.5650
sub-125,1.0000,0.0000,-0.4260,1.781157475,-1.063575099,1.6700
sub-126,1.0000,0.0000,0.5740,-0.881321934,-0.422387959,0.3570
sub-127,0.0000,1.0000,-0.4260,0.726955566,-0.586700833,0.8020
sub-128,0.0000,1.0000,0.5740,0.354984567,0.35040772,-1.2700
sub-129,0.0000,1.0000,0.5740,-1.141721185,2.26385679,-1.2600
sub-130,0.0000,1.0000,-0.4260,-1.262876457,1.236388009,1.1800
sub-132,0.0000,1.0000,-0.4260,-0.107125145,-0.012961885,1.6300
sub-133,0.0000,1.0000,0.5740,1.055715262,0.050489502,0.9060
sub-134,0.0000,1.0000,-0.4260,-0.770087816,0.121069128,-1.2500
sub-135,0.0000,1.0000,0.5740,-0.653236011,1.016904241,-1.2500
sub-136,0.0000,1.0000,-0.4260,0.220981734,-0.470718126,-1.2400
sub-137,0.0000,1.0000,0.5740,-0.54577279,0.786471014,-0.7910
sub-138,0.0000,1.0000,0.5740,-1.700501417,2.956665728,-0.1680
sub-140,0.0000,1.0000,0.5740,-0.738385115,0.945144959,-0.4170
sub-141,0.0000,1.0000,-0.4260,0.509990371,-0.031470684,-0.9100
sub-142,0.0000,1.0000,-0.4260,-0.159519738,0.411082901,1.5300
sub-143,0.0000,1.0000,-0.4260,1.600072485,-0.251220667,-1.2600
sub-144,,,,,,
sub-147,,,,,,
sub-149,,,,,,
sub-150,,,,,,
sub-151,,,,,,
sub-152,,,,,,
sub-153,,,,,,
sub-154,,,,,,
sub-155,,,,,,
sub-156,,,,,,
sub-157,,,,,,
sub-158,,,,,,
sub-159,,,,,,
