"participant_id","ismale","tsnr","fd_mean","RT","young","old","Hum_Com_alpha_young","Hum_Com_alpha_old"
"sub-104",0.57,0.34,-1.11,0.26,1,0,0.0730337478050245,0
"sub-105",-0.43,1.44,-1.21,1.03,1,0,-0.092497875659513,0
"sub-106",-0.43,0.84,-0.3,0.01,1,0,-0.248255037303623,0
"sub-107",0.57,0.47,-1.18,0.16,1,0,1.6678562273941,0
"sub-108",-0.43,0.42,-0.89,-1.25,1,0,-0.844948914563348,0
"sub-109",-0.43,0.68,-0.33,1.43,1,0,0.165924111118707,0
"sub-110",0.57,0.77,-1.29,-1.26,1,0,0.157493249739291,0
"sub-111",0.57,-0.69,0.15,-1.25,0,1,0,0.16152582455956
"sub-112",-0.43,0.82,-0.93,0.99,1,0,0.300334801894438,0
"sub-113",-0.43,-1.14,0.37,0.81,1,0,-5.96591522766766,0
"sub-115",-0.43,0.75,-0.52,0.94,1,0,-0.123248057002003,0
"sub-116",-0.43,-0.45,-0.46,0.18,1,0,-0.181404678163713,0
"sub-117",-0.43,1.08,-0.89,0.31,1,0,0.065340601639743,0
"sub-118",-0.43,-1.06,0.78,0.21,1,0,0.266731858412194,0
"sub-121",-0.43,1.82,-1.13,0.28,1,0,-1.44479033690307,0
"sub-122",-0.43,1.76,-1.01,1.49,1,0,0.0904259029309075,0
"sub-124",0.57,0.75,-0.62,0.57,1,0,0.123009902323122,0
"sub-125",-0.43,1.78,-1.06,1.67,1,0,0.296423730188767,0
"sub-126",0.57,-0.88,-0.42,0.36,1,0,0.0572629644326616,0
"sub-127",-0.43,0.73,-0.59,0.8,0,1,0,-0.497460417040853
"sub-128",0.57,0.35,0.35,-1.27,0,1,0,1.47224089939328
"sub-129",0.57,-1.14,2.26,-1.26,0,1,0,-0.0955850699345849
"sub-130",-0.43,-1.26,1.24,1.18,0,1,0,0.0710550280024939
"sub-132",-0.43,-0.11,-0.01,1.63,0,1,0,0.0397945536249004
"sub-133",0.57,1.06,0.05,0.91,0,1,0,0.112139361481008
"sub-134",-0.43,-0.77,0.12,-1.25,0,1,0,0.132178228147776
"sub-135",0.57,-0.65,1.02,-1.25,0,1,0,1.36224244440797
"sub-136",-0.43,0.22,-0.47,-1.24,0,1,0,0.133782153242828
"sub-137",0.57,-0.55,0.79,-0.79,0,1,0,-0.244271750385613
"sub-138",0.57,-1.7,2.96,-0.17,0,1,0,0.061336537948042
"sub-140",0.57,-0.74,0.95,-0.42,0,1,0,0.157774849852735
"sub-141",-0.43,0.51,-0.03,-0.91,0,1,0,0.076655074250061
"sub-142",-0.43,-0.16,0.41,1.53,0,1,0,0.140294967450029
"sub-143",-0.43,1.6,-0.25,-1.26,0,1,0,0.052781089104613
"sub-144",0.57,-2.07,1.86,-1.26,0,1,0,0.049798348150827
"sub-147",-0.43,-1,0.68,0.01,0,1,0,0.173892698974706
"sub-149",0.57,-0.94,1.68,-1.25,0,1,0,0.149408181485867
"sub-150",-0.43,-0.54,-0.21,0.64,1,0,0.00385174959642301,0
"sub-151",-0.43,-1.12,1,-1.25,0,1,0,0.209041878935197
"sub-152",0.57,-1.25,1.56,-1.26,0,1,0,0.0629001183997391
"sub-153",0.57,0.01,-0.61,-1.24,1,0,-0.189057762165862,0
"sub-154",-0.43,0.28,0.06,0.32,0,1,0,1.68162592417394
"sub-155",0.57,0.9,-1.23,0.38,1,0,-0.315340200748923,0
"sub-156",-0.43,-1.21,0.66,1.02,1,0,0.0714343391251873,0
"sub-157",0.57,-0.81,-0.33,0.2,1,0,0.214795454550766,0
"sub-158",0.57,-0.34,-0.65,1.02,1,0,0.359957118729727,0
"sub-159",-0.43,1.22,-1.18,-0.49,1,0,0.0284314060721469,0
