"participant_id","ismale","tsnr","fd_mean","RT","young","old","IN_OUT_alpha_young","IN_OUT_alpha_old"
"sub-104",0.57,0.34,-1.11,0.26,1,0,-0.17824866147029,0
"sub-105",-0.43,1.44,-1.21,1.03,1,0,0.0187782661081833,0
"sub-106",-0.43,0.84,-0.3,0.01,1,0,-0.0240099654389817,0
"sub-107",0.57,0.47,-1.18,0.16,1,0,-0.868550284130384,0
"sub-108",-0.43,0.42,-0.89,-1.25,1,0,-0.732196914050083,0
"sub-109",-0.43,0.68,-0.33,1.43,1,0,-0.150612078854827,0
"sub-110",0.57,0.77,-1.29,-1.26,1,0,0.0695088408340264,0
"sub-111",0.57,-0.69,0.15,-1.25,0,1,0,0.309600448326144
"sub-112",-0.43,0.82,-0.93,0.99,1,0,-0.152419374706502,0
"sub-113",-0.43,-1.14,0.37,0.81,1,0,0.0374826376798433,0
"sub-115",-0.43,0.75,-0.52,0.94,1,0,0.197493121688986,0
"sub-116",-0.43,-0.45,-0.46,0.18,1,0,-0.258888561167932,0
"sub-117",-0.43,1.08,-0.89,0.31,1,0,-0.166824190161985,0
"sub-118",-0.43,-1.06,0.78,0.21,1,0,-0.619842670932934,0
"sub-121",-0.43,1.82,-1.13,0.28,1,0,-0.251452205569274,0
"sub-122",-0.43,1.76,-1.01,1.49,1,0,-0.266902202399397,0
"sub-124",0.57,0.75,-0.62,0.57,1,0,-0.117991837977803,0
"sub-125",-0.43,1.78,-1.06,1.67,1,0,-0.214447341827596,0
"sub-126",0.57,-0.88,-0.42,0.36,1,0,-0.165336313306855,0
"sub-127",-0.43,0.73,-0.59,0.8,0,1,0,0.812295774062138
"sub-128",0.57,0.35,0.35,-1.27,0,1,0,1.57381850295194
"sub-129",0.57,-1.14,2.26,-1.26,0,1,0,-0.392160263881055
"sub-130",-0.43,-1.26,1.24,1.18,0,1,0,-0.176683542731671
"sub-132",-0.43,-0.11,-0.01,1.63,0,1,0,-0.173153231024849
"sub-133",0.57,1.06,0.05,0.91,0,1,0,-0.189382972430195
"sub-134",-0.43,-0.77,0.12,-1.25,0,1,0,-0.130363792510837
"sub-135",0.57,-0.65,1.02,-1.25,0,1,0,7.17157745808189
"sub-136",-0.43,0.22,-0.47,-1.24,0,1,0,0.104655100079901
"sub-137",0.57,-0.55,0.79,-0.79,0,1,0,-0.797339366635222
"sub-138",0.57,-1.7,2.96,-0.17,0,1,0,-0.231208175269246
"sub-140",0.57,-0.74,0.95,-0.42,0,1,0,-0.116170821079453
"sub-141",-0.43,0.51,-0.03,-0.91,0,1,0,-0.171298919647957
"sub-142",-0.43,-0.16,0.41,1.53,0,1,0,-0.13632802625771
"sub-143",-0.43,1.6,-0.25,-1.26,0,1,0,-0.320632367466596
"sub-144",0.57,-2.07,1.86,-1.26,0,1,0,-0.317092128158526
"sub-147",-0.43,-1,0.68,0.01,0,1,0,-0.147971300435738
"sub-149",0.57,-0.94,1.68,-1.25,0,1,0,-0.267359241632416
"sub-150",-0.43,-0.54,-0.21,0.64,1,0,-0.460294409420731,0
"sub-151",-0.43,-1.12,1,-1.25,0,1,0,0.0376120404258084
"sub-152",0.57,-1.25,1.56,-1.26,0,1,0,-0.180972693141163
"sub-153",0.57,0.01,-0.61,-1.24,1,0,-0.245953227124616,0
"sub-154",-0.43,0.28,0.06,0.32,0,1,0,0.142320273167778
"sub-155",0.57,0.9,-1.23,0.38,1,0,0.127260670654138,0
"sub-156",-0.43,-1.21,0.66,1.02,1,0,-0.175371850741825,0
"sub-157",0.57,-0.81,-0.33,0.2,1,0,-0.120640822596976,0
"sub-158",0.57,-0.34,-0.65,1.02,1,0,-0.735244613541162,0
"sub-159",-0.43,1.22,-1.18,-0.49,1,0,-0.949058766337992,0
