"participant_id","age","sex","trial_total","Include","computer_alpha","computer_epsilon","human_alpha","human_epsilon","outgroup_alpha","outgroup_epsilon","ingroup_alpha","ingroup_epsilon"
"sub-106",20,"F",144,"yes",2.07852031278104,0.000178958053713623,1.72597890939074,3.79760626219817e-05,1.57305512492311,0.00014140033321888,1.84200460690972,4.96400814201978e-05
"sub-109",28,"F",126,"yes",0.00832163855398191,0.00142801041265147,0.156434487233723,9.70461529734776e-05,0.153577688906905,0.000186960266010088,0.155108938556659,0.000163486842800914
"sub-104",20,"M",144,"yes",0.00363734893487513,0.000982575482364261,0.00356000034690372,0.000103849865634678,0.00482381689105131,0.000301381385375268,0.00358390067416389,5.2133655892255e-05
"sub-110",20,"M",144,"yes",0.55256220066844,0.000587682925063206,0.62122425298,9.84027122276335e-05,0.48745829652531,0.000292965788606217,0.729491830815414,0.00010515419529377
"sub-105",21,"F",143,"yes",0.560264705867115,0.00149865170664855,0.492997401321282,0.000255261284766412,0.393491502171338,0.000344512430435082,0.571785238889018,0.000171284153818306
"sub-108",21,"F",144,"yes",1.1016699799066,0.00258891841494442,0.718664624487637,3.49185207836761e-05,1.01079343591828,0.000151152361624013,0.460093307147572,0.000177764499966468
"sub-107",23,"M",142,"yes",1.8262867190005,0.000968886841600668,4.40455025954901,0.116033636008564,1.29532159341927,8.92110868442198e-05,0.710208896532557,0.000107888001444786
"sub-111",80,"M",143,"yes",0.828535534639941,0.0155510104639294,1.11155725343648,0.0228427084095999,0.357309102579028,0.000118590918769124,0.855724159615066,8.73094459344765e-05
"sub-112",23,"F",143,"yes",0.242867454950316,0.0012587701577559,0.4408371384185,1.15359930998208e-05,0.433755234075669,0.000111513327097697,0.447052918627571,6.37406201356035e-05
"sub-113",34,"F",144,"yes",5.8044021107364,0.0685485559186015,1.0801442454132,2.64701637015575e-05,0.966750306054671,0.000122128974492891,1.17994334211348,8.47803488946674e-05
"sub-115",21,"F",141,"yes",0.057965555149818,0.00125234951068466,0.0416643271368635,0.000105126069768406,0.0262463533184708,0.000157503888634488,0.0621080083757709,4.24035201313954e-05
"sub-116",25,"F",143,"yes",1.90862646890524,0.000267237038011185,1.6146608925733,1.68187673845992e-05,1.65131473568393,0.000135893568717808,1.57917237455176,4.39033140862761e-05
"sub-117",20,"F",144,"yes",0.220704006032371,0.000700449184966867,0.217885380372761,0.000203152285927057,0.204711156808251,0.000132975159110831,0.197433653882743,0.000286786487950287
"sub-118",21,"F",144,"yes",0.0131644929347452,0.00189944657339356,0.0410760492452188,0.00105104361446463,0.546531375233779,0.000219105139674618,0.00946011481975799,0.00027575953661192
"sub-120",18,"M",144,"yes",1.34275310134703,0.00270627737130864,1.27936282498899,0.00017297869200017,1.32816102588775,0.000134376823114258,1.23518787938781,4.80693631509129e-05
"sub-121",20,"F",144,"yes",1.89643974303774,0.0437698138723764,0.466190338692994,4.44279352881438e-05,0.492805188262938,0.000185480211302806,0.430181952465008,0.0001161948671293
"sub-122",20,"F",143,"yes",0.00551761232597973,0.00116236197636451,0.00746988097703081,7.66968215598644e-05,0.171196086310428,0.000262646726353301,0.00511104398327352,0.000111562879636654
"sub-124",20,"M",143,"yes",0.120786982595529,0.000496409068420634,0.144863593292725,0.000190285862875116,0.124949040713005,0.000190240223382803,0.174089086678269,9.56356817421535e-05
"sub-125",21,"F",142,"yes",0.910627339679867,0.000740532978481789,0.99631117562799,0.00047000767106761,0.965130194189585,0.000153006850727082,0.957053170941387,0.000313168249676548
"sub-126",20,"M",142,"yes",0.00493906091295843,0.000749499371231438,0.00283721131041035,0.000351952812016859,0.00371109776911715,0.000212125220776896,0.00404976660941612,7.3159128953734e-05
"sub-127",76,"F",143,"yes",3.07711873032128,0.000372049828731317,2.71874676690941,1.77023189099166e-05,2.24775318442656,0.000123313528300619,2.97712239640543,5.80157429297681e-05
"sub-128",63,"M",144,"yes",12.2212002372889,9.29582628748741e-05,14.9109200939817,1.27485814272343e-05,10.2006185385992,0.000118363661914128,11.156432041133,4.38698728469773e-05
"sub-129",68,"M",143,"yes",0.881065009268726,0.00131144928906976,0.856692803358878,4.31312508415499e-05,0.928932407283347,0.000116205954007202,0.705160968687713,8.50103348117757e-05
"sub-130",68,"F",143,"yes",0.00297361050885793,0.00133904871480321,0.00274353456833999,-4.40967426984153e-05,0.00429316790029102,0.000427399219871786,0.00316371814995244,0.000414091754497257
"sub-131",65,"M",140,"yes",0.00553418491411381,0.00168942398295683,0.0128565242258924,-0.000201144952016316,0.0169106584969508,0.000282312597470398,0.0106767625654518,3.5122468890779e-05
"sub-132",73,"F",143,"yes",0.00703951205048827,0.000761021807975929,0.00277642613999083,0.000186977490751143,0.00354280600623362,0.000139261427376337,0.0028302824438684,0.000152676914954797
"sub-133",70,"M",142,"yes",0.00270024062164225,0.00143401016797868,0.00696273917990142,0.00041184186715089,0.0084310811970576,0.000403399639964134,0.00491484755144802,8.15464167536973e-05
"sub-134",65,"F",135,"yes",0.0108652368914177,0.00196490264037754,0.130820301624512,0.000152994499231476,0.11304194424914,0.000480095497600898,0.156961901747341,8.72132388564601e-05
"sub-135",69,"M",132,"yes",6.4343396925968,0.000209355186639605,7.73443570641162,1.74721640415033e-05,3.79802435869143,0.000114223823534149,10.9805976430536,4.18403049547846e-05
"sub-136",65,"F",144,"yes",0.327759379751968,0.00184407112264824,0.464319976298558,0.00053108802908628,0.191854870333427,0.000108434894426163,0.442881424805836,0.000165501226929097
"sub-137",72,"M",142,"yes",1.63269142593193,0.000666980727672033,1.51599291033548,5.33864891106169e-05,1.85838762411562,0.000131221412161894,1.16901343987826,4.77617600606976e-05
