"subjID","ones","ismale","tsnr","fd_mean","RT","younger","older","soc_nonsoc_young","soc_nonsoc_old"
"sub-104",1,0.574,0.335345346,-1.109117337,0.256,1,0,-0.0459601572522094,0
"sub-105",1,-0.426,1.43926098,-1.214960371,1.03,1,0,0.060531978643808,0
"sub-106",1,-0.426,0.84197575,-0.295734173,0.00677,1,0,0.177902689241555,0
"sub-107",1,0.574,0.467173848,-1.179449315,0.164,1,0,-0.209976946482166,0
"sub-108",1,-0.426,0.4199414,-0.888679465,-1.25,1,0,-0.125610988123018,0
"sub-109",1,-0.426,0.680348289,-0.333947122,1.43,1,0,0.103993720127593,0
"sub-110",1,0.574,0.771201523,-1.292912535,-1.26,1,0,-0.0504756087119916,0
"sub-111",1,0.574,-0.691764793,0.146433278,-1.25,0,1,0,-0.222133751989869
"sub-112",1,-0.426,0.817466001,-0.931557862,0.991,1,0,0.125911745758256,0
"sub-113",1,-0.426,-1.142227911,0.36502216,0.813,1,0,0.141745095487959,0
"sub-115",1,-0.426,0.750329892,-0.517222174,0.94,1,0,-0.0541066862508466,0
"sub-116",1,-0.426,-0.449037222,-0.458864599,0.183,1,0,0.0793523956279414,0
"sub-117",1,-0.426,1.075760056,-0.887283578,0.308,1,0,0.0891746066025631,0
"sub-118",1,-0.426,-1.060535185,0.783193711,0.214,1,0,-0.0830643435029014,0
"sub-121",1,-0.426,1.822941324,-1.128909272,0.276,1,0,0.117802092227474,0
"sub-122",1,-0.426,1.759997806,-1.012660134,1.49,1,0,-0.10621054453808,0
"sub-124",1,0.574,0.750570699,-0.622688021,0.565,1,0,0.122685148140307,0
"sub-125",1,-0.426,1.781157475,-1.063575099,1.67,1,0,-0.161797782263051,0
"sub-126",1,0.574,-0.881321934,-0.422387959,0.357,1,0,-0.0580838068033332,0
"sub-127",1,-0.426,0.726955566,-0.586700833,0.802,0,1,0,0.0508971306199629
"sub-128",1,0.574,0.354984567,0.35040772,-1.27,0,1,0,0.105463152274959
"sub-129",1,0.574,-1.141721185,2.26385679,-1.26,0,1,0,-0.100926201624393
"sub-130",1,-0.426,-1.262876457,1.236388009,1.18,0,1,0,-0.039219162510931
"sub-132",1,-0.426,-0.107125145,-0.012961885,1.63,0,1,0,-0.072996890481163
"sub-133",1,0.574,1.055715262,0.050489502,0.906,0,1,0,-0.0377630624557814
"sub-134",1,-0.426,-0.770087816,0.121069128,-1.25,0,1,0,0.0490691688951255
"sub-135",1,0.574,-0.653236011,1.016904241,-1.25,0,1,0,0.428699723335884
"sub-136",1,-0.426,0.220981734,-0.470718126,-1.24,0,1,0,-0.256878154977014
"sub-137",1,0.574,-0.54577279,0.786471014,-0.791,0,1,0,0.109292000649512
"sub-138",1,0.574,-1.700501417,2.956665728,-0.168,0,1,0,-0.178294391870736
"sub-140",1,0.574,-0.738385115,0.945144959,-0.417,0,1,0,-0.0883099334259505
"sub-141",1,-0.426,0.509990371,-0.031470684,-0.91,0,1,0,-0.0540601430079399
"sub-142",1,-0.426,-0.159519738,0.411082901,1.53,0,1,0,0.1055108794738
"sub-143",1,-0.426,1.600072485,-0.251220667,-1.26,0,1,0,0.0596154742019431
"sub-144",1,0.574,-2.070394775,1.857227144,-1.26,0,1,0,-0.0853568442202722
"sub-147",1,-0.426,-1.000297491,0.677173554,0.0118,0,1,0,0.370445411108017
"sub-149",1,0.574,-0.939580152,1.676162702,-1.25,0,1,0,-0.0556248744468906
"sub-150",1,-0.426,-0.537555218,-0.21095519,0.64,1,0,-0.145754628298514,0
"sub-151",1,-0.426,-1.120709642,1.001343862,-1.25,0,1,0,0.095153658333317
"sub-152",1,0.574,-1.252682339,1.56148429,-1.26,0,1,0,-0.0486639812469143
"sub-153",1,0.574,0.007521336,-0.61313535,-1.24,1,0,-0.0461397726538002,0
"sub-154",1,-0.426,0.280333975,0.064014578,0.316,0,1,0,-0.212319824781564
"sub-155",1,0.574,0.898209256,-1.233512086,0.383,1,0,0.119142916967078,0
"sub-156",1,-0.426,-1.213480721,0.657957535,1.02,1,0,-0.0396261882885472,0
"sub-157",1,0.574,-0.808294548,-0.32672095,0.195,1,0,-0.160932371971548,0
"sub-158",1,0.574,-0.339626837,-0.648509396,1.02,1,0,0.0995199335266666,0
"sub-159",1,-0.426,1.218499501,-1.182638625,-0.494,1,0,0.128378120935704,0
