"participant_id","ismale","tsnr","fd_mean","RT","age_norm","IN_OUT_alpha_mean","IN_OUT_alpha_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-1.05824178694308,-0.17824866147029,0.188630182034531
"sub-105",-0.43,1.44,-1.21,1.03,-1.0157312194334,0.0187782661081833,-0.0190736711329099
"sub-106",-0.43,0.84,-0.3,0.01,-1.05824178694308,-0.0240099654389817,0.0254083487305894
"sub-107",0.57,0.47,-1.18,0.16,-0.930710084414038,-0.868550284130384,0.808368508260827
"sub-108",-0.43,0.42,-0.89,-1.25,-1.0157312194334,-0.732196914050083,0.74371526437346
"sub-109",-0.43,0.68,-0.33,1.43,-0.718157246865643,-0.150612078854827,0.108163155895093
"sub-110",0.57,0.77,-1.29,-1.26,-1.05824178694308,0.0695088408340264,-0.0735571599325419
"sub-111",0.57,-0.69,0.15,-1.25,1.49239226363767,0.309600448326144,0.462045313900692
"sub-112",-0.43,0.82,-0.93,0.99,-0.930710084414038,-0.152419374706502,0.141858249099423
"sub-113",-0.43,-1.14,0.37,0.81,-0.463093841807568,0.0374826376798433,-0.0173579786842398
"sub-115",-0.43,0.75,-0.52,0.94,-1.0157312194334,0.197493121688986,-0.200599929322862
"sub-116",-0.43,-0.45,-0.46,0.18,-0.84568894939468,-0.258888561167932,0.218939195304408
"sub-117",-0.43,1.08,-0.89,0.31,-1.05824178694308,-0.166824190161985,0.17654032910235
"sub-118",-0.43,-1.06,0.78,0.21,-1.0157312194334,-0.619842670932934,0.629593552003562
"sub-121",-0.43,1.82,-1.13,0.28,-1.05824178694308,-0.251452205569274,0.266097231352406
"sub-122",-0.43,1.76,-1.01,1.49,-1.05824178694308,-0.266902202399397,0.282447063606181
"sub-124",0.57,0.75,-0.62,0.57,-1.05824178694308,-0.117991837977803,0.124863893466328
"sub-125",-0.43,1.78,-1.06,1.67,-1.0157312194334,-0.214447341827596,0.217820860018794
"sub-126",0.57,-0.88,-0.42,0.36,-1.05824178694308,-0.165336313306855,0.174965795640427
"sub-127",-0.43,0.73,-0.59,0.8,1.32234999359895,0.812295774062138,1.07413931163153
"sub-128",0.57,0.35,0.35,-1.27,0.769712615973126,1.57381850295194,1.21138795697404
"sub-129",0.57,-1.14,2.26,-1.26,0.982265453521521,-0.392160263881055,-0.385205479454244
"sub-130",-0.43,-1.26,1.24,1.18,0.982265453521521,-0.176683542731671,-0.173550140231114
"sub-132",-0.43,-0.11,-0.01,1.63,1.19481829106992,-0.173153231024849,-0.206886647586345
"sub-133",0.57,1.06,0.05,0.91,1.06728658854088,-0.189382972430195,-0.202125906572754
"sub-134",-0.43,-0.77,0.12,-1.25,0.854733750992484,-0.130363792510837,-0.111426333366393
"sub-135",0.57,-0.65,1.02,-1.25,1.0247760210312,7.17157745808189,7.34926061201021
"sub-136",-0.43,0.22,-0.47,-1.24,0.854733750992484,0.104655100079901,0.0894522462517879
"sub-137",0.57,-0.55,0.79,-0.79,1.15230772356024,-0.797339366635222,-0.918780310472394
"sub-138",0.57,-1.7,2.96,-0.17,0.982265453521521,-0.231208175269246,-0.227107803138729
"sub-140",0.57,-0.74,0.95,-0.42,0.982265453521521,-0.116170821079453,-0.114110584253576
"sub-141",-0.43,0.51,-0.03,-0.91,1.32234999359895,-0.171298919647957,-0.226517125299984
"sub-142",-0.43,-0.16,0.41,1.53,1.06728658854088,-0.13632802625771,-0.145501074067103
"sub-143",-0.43,1.6,-0.25,-1.26,1.19481829106992,-0.320632367466596,-0.38309741735814
"sub-144",0.57,-2.07,1.86,-1.26,1.15230772356024,-0.317092128158526,-0.365387708357222
"sub-147",-0.43,-1,0.68,0.01,0.854733750992484,-0.147971300435738,-0.126476064660674
"sub-149",0.57,-0.94,1.68,-1.25,0.897244318502163,-0.267359241632416,-0.239886560553732
"sub-150",-0.43,-0.54,-0.21,0.64,-0.930710084414038,-0.460294409420731,0.428400648647278
"sub-151",-0.43,-1.12,1,-1.25,0.854733750992484,0.0376120404258084,0.0321482803956322
"sub-152",0.57,-1.25,1.56,-1.26,0.897244318502163,-0.180972693141163,-0.162376720724944
"sub-153",0.57,0.01,-0.61,-1.24,-0.675646679355964,-0.245953227124616,0.16617748118363
"sub-154",-0.43,0.28,0.06,0.32,0.939754886011842,0.142320273167778,0.133746172087959
"sub-155",0.57,0.9,-1.23,0.38,-0.633136111846285,0.127260670654138,-0.0805733262089116
"sub-156",-0.43,-1.21,0.66,1.02,-0.633136111846285,-0.175371850741825,0.111034251705966
"sub-157",0.57,-0.81,-0.33,0.2,-0.84568894939468,-0.120640822596976,0.102024610516146
"sub-158",0.57,-0.34,-0.65,1.02,-0.803178381885001,-0.735244613541162,0.590532578993653
"sub-159",-0.43,1.22,-1.18,-0.49,-0.888199516904359,-0.949058766337992,0.842953537775251
