participant	age_group	run	onset	duration	partner	missed	response_time_raw	response_selection_time	offer	block
sub-104	younger	01	4.008220	3.515540	outgroup	0	1.297310	0.297310	8	block_outgroup_fair
sub-104	younger	01	8.281520	3.515420	outgroup	0	1.728010	0.728010	7	block_outgroup_fair
sub-104	younger	01	12.555700	3.516360	outgroup	0	1.657320	0.657320	9	block_outgroup_fair
sub-104	younger	01	16.829500	3.515700	outgroup	0	1.637250	0.637250	2	block_outgroup_fair
sub-104	younger	01	21.103300	3.515580	outgroup	0	1.433270	0.433270	7	block_outgroup_fair
sub-104	younger	01	25.376600	3.515030	outgroup	0	1.696890	0.696890	6	block_outgroup_fair
sub-104	younger	01	29.649600	3.516630	outgroup	0	1.410590	0.410590	7	block_outgroup_fair
sub-104	younger	01	33.923300	3.516790	outgroup	0	1.306980	0.306980	7	block_outgroup_fair
sub-104	younger	01	47.446700	3.515740	outgroup	0	1.295190	0.295190	7	block_outgroup_unfair
sub-104	younger	01	51.718500	3.516920	outgroup	0	1.359890	0.359890	3	block_outgroup_unfair
sub-104	younger	01	55.993300	3.515360	outgroup	0	1.322310	0.322310	3	block_outgroup_unfair
sub-104	younger	01	60.265300	3.515410	outgroup	0	1.320220	0.320220	4	block_outgroup_unfair
sub-104	younger	01	64.538100	3.517060	outgroup	0	1.300580	0.300580	1	block_outgroup_unfair
sub-104	younger	01	68.811600	3.516360	outgroup	0	1.397560	0.397560	4	block_outgroup_unfair
sub-104	younger	01	73.085900	3.515360	outgroup	0	1.327210	0.327210	5	block_outgroup_unfair
sub-104	younger	01	77.359700	3.516040	outgroup	0	1.506240	0.506240	4	block_outgroup_unfair
sub-104	younger	01	92.885300	3.517760	ingroup	0	2.676560	1.676560	1	block_ingroup_unfair
sub-104	younger	01	97.161700	3.515960	ingroup	0	1.471150	0.471150	4	block_ingroup_unfair
sub-104	younger	01	101.435000	3.516450	ingroup	0	1.535070	0.535070	7	block_ingroup_unfair
sub-104	younger	01	105.709000	3.517060	ingroup	0	1.314320	0.314320	3	block_ingroup_unfair
sub-104	younger	01	109.984000	3.517550	ingroup	0	1.107700	0.107700	2	block_ingroup_unfair
sub-104	younger	01	114.258000	3.516520	ingroup	0	1.305290	0.305290	4	block_ingroup_unfair
sub-104	younger	01	118.530000	3.516210	ingroup	0	1.286060	0.286060	2	block_ingroup_unfair
sub-104	younger	01	122.804000	3.517130	ingroup	0	1.315720	0.315720	6	block_ingroup_unfair
sub-104	younger	01	138.329000	3.517140	computer	0	1.737190	0.737190	3	block_computer_unfair
sub-104	younger	01	142.604000	3.516430	computer	0	1.266300	0.266300	6	block_computer_unfair
sub-104	younger	01	146.877000	3.515700	computer	0	1.313030	0.313030	7	block_computer_unfair
sub-104	younger	01	151.150000	3.516430	computer	0	1.510590	0.510590	1	block_computer_unfair
sub-104	younger	01	155.424000	3.514680	computer	0	1.473290	0.473290	4	block_computer_unfair
sub-104	younger	01	159.696000	3.516400	computer	0	1.571730	0.571730	4	block_computer_unfair
sub-104	younger	01	163.970000	3.517090	computer	0	1.317470	0.317470	3	block_computer_unfair
sub-104	younger	01	168.244000	3.515280	computer	0	1.313120	0.313120	4	block_computer_unfair
sub-104	younger	01	179.768000	3.517440	ingroup	0	1.031870	0.031870	10	block_ingroup_unfair
sub-104	younger	01	184.044000	3.515810	ingroup	0	1.376820	0.376820	2	block_ingroup_unfair
sub-104	younger	01	188.317000	3.515230	ingroup	0	1.289960	0.289960	3	block_ingroup_unfair
sub-104	younger	01	192.590000	3.515450	ingroup	0	1.471440	0.471440	3	block_ingroup_unfair
sub-104	younger	01	196.861000	3.516050	ingroup	0	1.319510	0.319510	1	block_ingroup_unfair
sub-104	younger	01	201.135000	3.517570	ingroup	0	1.382980	0.382980	6	block_ingroup_unfair
sub-104	younger	01	205.410000	3.517140	ingroup	0	1.361540	0.361540	3	block_ingroup_unfair
sub-104	younger	01	209.685000	3.515420	ingroup	0	1.341220	0.341220	1	block_ingroup_unfair
sub-104	younger	01	221.209000	3.516520	computer	0	1.859910	0.859910	4	block_computer_fair
sub-104	younger	01	225.482000	3.516280	computer	0	1.388980	0.388980	5	block_computer_fair
sub-104	younger	01	229.757000	3.515330	computer	0	1.335000	0.335000	7	block_computer_fair
sub-104	younger	01	234.029000	3.516030	computer	0	1.266710	0.266710	8	block_computer_fair
sub-104	younger	01	238.302000	3.516930	computer	0	1.279580	0.279580	9	block_computer_fair
sub-104	younger	01	242.576000	3.516200	computer	0	1.359310	0.359310	10	block_computer_fair
sub-104	younger	01	246.850000	3.515970	computer	0	1.322300	0.322300	10	block_computer_fair
sub-104	younger	01	251.123000	3.516840	computer	0	1.385870	0.385870	8	block_computer_fair
sub-104	younger	01	264.646000	3.516830	computer	0	1.390900	0.390900	1	block_computer_unfair
sub-104	younger	01	268.920000	3.515580	computer	0	1.270580	0.270580	2	block_computer_unfair
sub-104	younger	01	273.193000	3.517120	computer	0	1.300600	0.300600	8	block_computer_unfair
sub-104	younger	01	277.468000	3.515700	computer	0	1.346250	0.346250	4	block_computer_unfair
sub-104	younger	01	281.740000	3.516700	computer	0	1.326850	0.326850	4	block_computer_unfair
sub-104	younger	01	286.015000	3.516200	computer	0	1.556290	0.556290	1	block_computer_unfair
sub-104	younger	01	290.288000	3.516580	computer	0	1.337380	0.337380	6	block_computer_unfair
sub-104	younger	01	294.561000	3.517300	computer	0	1.366970	0.366970	3	block_computer_unfair
sub-104	younger	01	306.087000	3.516980	ingroup	0	2.184730	1.184730	6	block_ingroup_fair
sub-104	younger	01	310.363000	3.517550	ingroup	0	1.528530	0.528530	9	block_ingroup_fair
sub-104	younger	01	314.637000	3.517970	ingroup	0	1.305510	0.305510	7	block_ingroup_fair
sub-104	younger	01	318.913000	3.516160	ingroup	0	1.017880	0.017880	10	block_ingroup_fair
sub-104	younger	01	323.187000	3.515740	ingroup	0	1.549630	0.549630	7	block_ingroup_fair
sub-104	younger	01	327.460000	3.514260	ingroup	0	1.379220	0.379220	10	block_ingroup_fair
sub-104	younger	01	331.731000	3.515870	ingroup	0	1.377930	0.377930	7	block_ingroup_fair
sub-104	younger	01	336.004000	3.516160	ingroup	0	1.024330	0.024330	2	block_ingroup_fair
sub-104	younger	01	349.528000	3.516280	computer	0	1.361560	0.361560	8	block_computer_fair
sub-104	younger	01	353.802000	3.516250	computer	0	1.341380	0.341380	10	block_computer_fair
sub-104	younger	01	358.076000	3.515130	computer	0	1.387750	0.387750	10	block_computer_fair
sub-104	younger	01	362.348000	3.515880	computer	0	1.352400	0.352400	9	block_computer_fair
sub-104	younger	01	366.622000	3.516570	computer	0	1.382540	0.382540	3	block_computer_fair
sub-104	younger	01	370.895000	3.515410	computer	0	1.396060	0.396060	5	block_computer_fair
sub-104	younger	01	375.168000	3.515480	computer	0	1.393600	0.393600	7	block_computer_fair
sub-104	younger	01	379.440000	3.517730	computer	0	1.440650	0.440650	10	block_computer_fair
sub-104	younger	02	4.007960	3.516510	outgroup	0	1.322420	0.322420	2	block_outgroup_fair
sub-104	younger	02	8.282890	3.516540	outgroup	0	1.267840	0.267840	7	block_outgroup_fair
sub-104	younger	02	12.555800	3.516310	outgroup	0	1.314970	0.314970	10	block_outgroup_fair
sub-104	younger	02	16.829100	3.517110	outgroup	0	1.311250	0.311250	7	block_outgroup_fair
sub-104	younger	02	21.103900	3.517250	outgroup	0	1.273700	0.273700	5	block_outgroup_fair
sub-104	younger	02	25.378500	3.517410	outgroup	0	1.335790	0.335790	8	block_outgroup_fair
sub-104	younger	02	29.652900	3.517150	outgroup	0	1.331550	0.331550	8	block_outgroup_fair
sub-104	younger	02	33.927700	3.516560	outgroup	0	1.244130	0.244130	10	block_outgroup_fair
sub-104	younger	02	47.452800	3.516620	ingroup	0	1.329850	0.329850	10	block_ingroup_fair
sub-104	younger	02	51.726600	3.515780	ingroup	0	1.409940	0.409940	8	block_ingroup_fair
sub-104	younger	02	56.000200	3.516230	ingroup	0	1.422660	0.422660	6	block_ingroup_fair
sub-104	younger	02	60.274100	3.516820	ingroup	0	1.435930	0.435930	7	block_ingroup_fair
sub-104	younger	02	64.548700	3.517030	ingroup	0	1.364670	0.364670	3	block_ingroup_fair
sub-104	younger	02	68.822900	3.516640	ingroup	0	1.544490	0.544490	7	block_ingroup_fair
sub-104	younger	02	73.097300	3.518660	ingroup	0	1.571520	0.571520	8	block_ingroup_fair
sub-104	younger	02	77.373200	3.514680	ingroup	0	1.434360	0.434360	9	block_ingroup_fair
sub-104	younger	02	88.897000	3.518630	outgroup	0	1.518410	0.518410	4	block_outgroup_unfair
sub-104	younger	02	93.173100	3.515900	outgroup	0	1.297390	0.297390	3	block_outgroup_unfair
