subjID,run1,run2
10317,1,0
10402,1,0
10418,1,0
10486,1,0
10529,1,0
10541,1,0
10559,1,0
10572,1,0
10581,1,1
10585,1,1
10589,1,1
10590,1,1
10596,1,1
10606,1,1
10608,1,1
10636,1,1
10638,1,1
10640,1,1
10642,1,1
10644,1,1
10647,1,1
10649,1,1
10652,1,1
10656,1,1
10657,1,1
10659,1,1
10661,1,1
10663,1,1
10673,1,1
10674,1,1
10677,1,1
10685,1,1
10690,1,1
10691,1,1
10700,1,1
10701,1,1
10713,1,1
10716,1,1
10718,1,1
10720,1,1
10723,1,1
10741,1,1
10748,1,1
10767,1,1
10770,1,1
10774,1,1
10777,1,1
10781,1,1
10783,1,1
10785,1,1
10794,1,1
10801,1,1
10802,1,1
10804,1,1
10806,1,1
10807,1,1
10810,1,1
10812,1,1
10817,1,1
10827,1,1
10831,1,1
10834,1,1
10838,1,1
10843,1,1
10850,1,1
10854,1,1
10857,1,1
10860,1,1
10862,1,1
10863,1,1
10866,1,1
10875,1,1
10887,1,1
10896,1,1
10898,1,1
10908,1,1
10918,1,1
10928,1,1
10930,1,1
10938,1,1
10940,1,1
10952,1,1
10958,1,1
10977,1,1
