"subjID","run","single_trial","behavior_hit","match"
"sub-104",1,72,72,TRUE
"sub-104",2,55,72,FALSE
"sub-105",1,72,71,FALSE
"sub-105",2,72,72,TRUE
"sub-106",1,72,72,TRUE
"sub-106",2,72,72,TRUE
"sub-107",1,72,72,TRUE
"sub-107",2,72,70,FALSE
"sub-108",1,72,72,TRUE
"sub-108",2,72,72,TRUE
"sub-109",1,72,64,FALSE
"sub-109",2,72,62,FALSE
"sub-110",1,72,72,TRUE
"sub-110",2,72,72,TRUE
"sub-111",1,72,71,FALSE
"sub-111",2,72,72,TRUE
"sub-112",1,72,72,TRUE
"sub-112",2,72,71,FALSE
"sub-113",1,72,72,TRUE
"sub-113",2,72,72,TRUE
"sub-115",1,72,71,FALSE
"sub-115",2,72,70,FALSE
"sub-116",1,72,71,FALSE
"sub-116",2,72,72,TRUE
"sub-117",1,72,72,TRUE
"sub-117",2,72,72,TRUE
"sub-118",1,72,72,TRUE
"sub-118",2,72,72,TRUE
"sub-121",1,72,72,TRUE
"sub-121",2,72,72,TRUE
"sub-122",1,72,71,FALSE
"sub-122",2,72,72,TRUE
"sub-124",1,72,71,FALSE
"sub-124",2,72,72,TRUE
"sub-125",1,72,70,FALSE
"sub-125",2,72,72,TRUE
"sub-126",1,72,71,FALSE
"sub-126",2,72,71,FALSE
"sub-127",1,72,71,FALSE
"sub-127",2,72,72,TRUE
"sub-128",1,72,72,TRUE
"sub-128",2,72,72,TRUE
"sub-129",1,72,71,FALSE
"sub-129",2,72,72,TRUE
"sub-130",1,72,71,FALSE
"sub-130",2,72,72,TRUE
"sub-132",1,72,71,FALSE
"sub-132",2,72,72,TRUE
"sub-133",1,72,70,FALSE
"sub-133",2,72,72,TRUE
"sub-134",1,72,69,FALSE
"sub-134",2,72,66,FALSE
"sub-135",1,72,64,FALSE
"sub-135",2,72,68,FALSE
"sub-136",1,72,72,TRUE
"sub-136",2,72,72,TRUE
"sub-137",1,72,71,FALSE
"sub-137",2,72,71,FALSE
"sub-138",1,72,68,FALSE
"sub-138",2,72,66,FALSE
"sub-140",1,72,71,FALSE
"sub-140",2,72,71,FALSE
"sub-141",1,72,71,FALSE
"sub-141",2,72,71,FALSE
"sub-142",1,72,71,FALSE
"sub-142",2,72,72,TRUE
"sub-143",1,72,72,TRUE
"sub-143",2,72,72,TRUE
"sub-144",1,72,72,TRUE
"sub-144",2,72,72,TRUE
"sub-147",1,72,70,FALSE
"sub-147",2,72,71,FALSE
"sub-149",1,72,66,FALSE
"sub-149",2,72,72,TRUE
"sub-150",1,72,71,FALSE
"sub-150",2,72,72,TRUE
"sub-151",1,72,72,TRUE
"sub-151",2,72,72,TRUE
"sub-152",1,72,68,FALSE
"sub-152",2,72,60,FALSE
"sub-153",1,72,71,FALSE
"sub-153",2,72,72,TRUE
"sub-154",1,72,70,FALSE
"sub-154",2,72,68,FALSE
"sub-155",1,72,72,TRUE
"sub-155",2,72,72,TRUE
"sub-156",1,72,72,TRUE
"sub-156",2,72,72,TRUE
"sub-157",1,72,71,FALSE
"sub-157",2,72,71,FALSE
"sub-158",1,72,71,FALSE
"sub-158",2,72,72,TRUE
"sub-159",1,72,72,TRUE
"sub-159",2,72,72,TRUE
