subjID	offer	accept	response_time	human	ingroup	block_fair
sub-106	3	0	2.067450	1	0	0
sub-106	2	0	1.560930	1	0	0
sub-106	4	0	1.420440	1	0	0
sub-106	2	0	1.544130	1	0	0
sub-106	4	0	1.494000	1	0	0
sub-106	6	1	1.785940	1	0	0
sub-106	4	0	1.258120	1	0	0
sub-106	10	1	1.341660	1	0	0
sub-106	7	1	1.536210	1	0	1
sub-106	5	0	1.410460	1	0	1
sub-106	10	1	1.020330	1	0	1
sub-106	10	1	1.379830	1	0	1
sub-106	8	1	1.204900	1	0	1
sub-106	3	0	1.019450	1	0	1
sub-106	10	1	1.027850	1	0	1
sub-106	10	1	1.255030	1	0	1
sub-106	9	1	1.276220	1	1	1
sub-106	10	1	1.363990	1	1	1
sub-106	2	0	1.089030	1	1	1
sub-106	10	1	1.318230	1	1	1
sub-106	7	1	1.380610	1	1	1
sub-106	8	1	1.301790	1	1	1
sub-106	8	1	1.225310	1	1	1
sub-106	5	0	1.412230	1	1	1
sub-106	8	1	1.393470	1	0	1
sub-106	9	1	1.364930	1	0	1
sub-106	7	1	1.985300	1	0	1
sub-106	8	1	1.246610	1	0	1
sub-106	2	0	1.028500	1	0	1
sub-106	5	0	1.056620	1	0	1
sub-106	9	1	1.240850	1	0	1
sub-106	9	1	1.023540	1	0	1
sub-106	9	1	1.417900	1	1	1
sub-106	9	1	1.322590	1	1	1
sub-106	9	1	1.020850	1	1	1
sub-106	6	0	1.547580	1	1	1
sub-106	7	1	1.416830	1	1	1
sub-106	10	1	1.031280	1	1	1
sub-106	4	0	1.063820	1	1	1
sub-106	7	1	1.320730	1	1	1
sub-106	3	0	1.378310	1	0	0
sub-106	4	0	1.386360	1	0	0
sub-106	5	0	1.024720	1	0	0
sub-106	9	1	1.261250	1	0	0
sub-106	2	0	1.288870	1	0	0
sub-106	1	0	1.025380	1	0	0
sub-106	1	0	1.020580	1	0	0
sub-106	1	0	1.028020	1	0	0
sub-106	5	0	1.487700	1	1	0
sub-106	3	0	1.584590	1	1	0
sub-106	1	0	1.261500	1	1	0
sub-106	1	0	1.360310	1	1	0
sub-106	2	0	1.165630	1	1	0
sub-106	7	1	1.510880	1	1	0
sub-106	4	0	1.306870	1	1	0
sub-106	1	0	1.384290	1	1	0
sub-106	10	1	1.727290	1	0	1
sub-106	7	1	1.383260	1	0	1
sub-106	9	1	1.021210	1	0	1
sub-106	9	1	1.263000	1	0	1
sub-106	3	0	1.238280	1	0	1
sub-106	8	0	1.019030	1	0	1
sub-106	5	0	1.361700	1	0	1
sub-106	7	1	1.094820	1	0	1
sub-106	4	0	1.373650	1	0	0
sub-106	1	0	1.315890	1	0	0
sub-106	9	1	1.306550	1	0	0
sub-106	2	0	1.387570	1	0	0
sub-106	1	0	1.049980	1	0	0
sub-106	5	0	1.752990	1	0	0
sub-106	4	0	1.400820	1	0	0
sub-106	3	0	1.032330	1	0	0
sub-106	7	1	1.483130	1	1	1
sub-106	7	1	1.022640	1	1	1
sub-106	9	1	2.175700	1	1	1
sub-106	7	1	1.072450	1	1	1
sub-106	9	1	1.568450	1	1	1
sub-106	2	0	1.551380	1	1	1
sub-106	8	1	1.449930	1	1	1
sub-106	6	0	1.381920	1	1	1
sub-106	4	0	1.289200	1	1	0
sub-106	3	0	1.026800	1	1	0
sub-106	8	1	1.159100	1	1	0
sub-106	2	0	1.018410	1	1	0
sub-106	3	0	1.021520	1	1	0
sub-106	1	0	1.333340	1	1	0
sub-106	5	0	1.110100	1	1	0
sub-106	4	0	1.272220	1	1	0
sub-106	4	0	1.236880	1	1	0
sub-106	4	0	1.031620	1	1	0
sub-106	4	0	1.018480	1	1	0
sub-106	1	0	1.018780	1	1	0
sub-106	4	0	1.686900	1	1	0
sub-106	6	0	1.156630	1	1	0
sub-106	8	1	1.928430	1	1	0
sub-106	2	0	1.025180	1	1	0
sub-109	10	1	2.444220	1	1	1
sub-109	7	1	1.787320	1	1	1
sub-109	4	1	1.834420	1	1	1
sub-109	10	1	1.451520	1	1	1
sub-109	7	1	1.592310	1	1	1
sub-109	6	1	1.230000	1	1	1
sub-109	9	1	2.335180	1	1	1
sub-109	7	1	2.088890	1	1	1
sub-109	5	1	2.605340	1	0	1
sub-109	10	1	1.383560	1	0	1
sub-109	8	1	2.018990	1	0	1
sub-109	10	1	1.717020	1	0	1
sub-109	8	1	1.605080	1	0	1
sub-109	10	1	1.764760	1	0	1
sub-109	2	1	2.340710	1	0	1
sub-109	8	1	1.880800	1	0	1
sub-109	6	1	2.040180	1	0	0
sub-109	3	1	2.866380	1	0	0
sub-109	1	0	2.782650	1	0	0
sub-109	2	1	1.998550	1	0	0
sub-109	8	1	1.776170	1	0	0
sub-109	2	1	1.473030	1	0	0
sub-109	3	1	1.510620	1	0	0
sub-109	6	1	2.060130	1	1	1
sub-109	8	1	2.546900	1	1	1
sub-109	9	1	1.542800	1	1	1
sub-109	10	1	2.020790	1	1	1
sub-109	7	1	1.909870	1	1	1
sub-109	4	1	1.387090	1	1	1
sub-109	9	1	1.350570	1	1	1
sub-109	2	1	2.312590	1	0	1
sub-109	8	1	2.036260	1	0	1
sub-109	6	1	1.765730	1	0	1
sub-109	10	1	1.933010	1	0	1
sub-109	7	1	1.253970	1	0	1
sub-109	9	1	1.406470	1	0	1
sub-109	10	1	2.060980	1	0	1
sub-109	3	1	2.563510	1	0	0
sub-109	4	1	1.702830	1	0	0
sub-109	7	1	1.343560	1	0	0
sub-109	3	1	2.856330	1	0	0
sub-109	2	1	1.382460	1	0	0
sub-109	4	1	2.515820	1	0	0
sub-109	2	1	1.366190	1	0	0
sub-109	3	1	2.347220	1	1	0
sub-109	10	1	1.777810	1	1	0
sub-109	1	1	2.185040	1	1	0
sub-109	1	0	1.406460	1	1	0
sub-109	2	1	1.459650	1	1	0
sub-109	3	1	2.182440	1	1	0
sub-109	4	1	2.171000	1	1	0
sub-109	6	1	2.215210	1	1	0
sub-109	1	0	1.172710	1	1	0
sub-109	9	1	1.708860	1	1	0
sub-109	1	0	1.338100	1	1	0
sub-109	2	1	1.507390	1	1	0
sub-109	1	0	1.824010	1	1	0
sub-109	1	0	2.486280	1	1	0
sub-109	7	1	2.580410	1	0	1
sub-109	7	1	1.397740	1	0	1
sub-109	1	0	1.275850	1	0	1
sub-109	8	1	1.377220	1	0	1
sub-109	7	1	2.810490	1	0	1
sub-109	10	1	1.432270	1	0	1
sub-109	7	1	1.308620	1	0	1
sub-109	6	1	1.065660	1	0	1
sub-109	4	1	1.539040	1	1	0
sub-109	2	1	1.337210	1	1	0
sub-109	6	1	1.155300	1	1	0
sub-109	4	1	1.175620	1	1	0
sub-109	4	1	1.031240	1	1	0
sub-109	1	0	2.088360	1	1	0
sub-109	8	1	2.187070	1	1	1
sub-109	9	1	2.094720	1	1	1
sub-109	8	1	1.430190	1	1	1
sub-109	3	1	2.574110	1	1	1
sub-109	10	1	1.996600	1	1	1
sub-109	7	1	1.234580	1	1	1
sub-109	9	1	2.639080	1	1	1
sub-109	2	1	1.497920	1	0	0
sub-109	1	0	1.035170	1	0	0
sub-109	4	1	1.673930	1	0	0
sub-109	3	1	2.357900	1	0	0
sub-109	3	1	1.288380	1	0	0
sub-109	9	1	1.489470	1	0	0
sub-104	8	1	1.297310	1	0	1
