"participant_id","ismale","tsnr","fd_mean","RT","age_mean","IN_OUT_epsilon_mean","IN_OUT_epsilon_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-24.8936170212766,-0.000138570858318764,0.0034495298772969
"sub-105",-0.43,1.44,-1.21,1.03,-23.8936170212766,-0.000631340861777475,0.0150850167611937
"sub-106",-0.43,0.84,-0.3,0.01,-24.8936170212766,0.000522414281763023,-0.013004781056654
"sub-107",0.57,0.47,-1.18,0.16,-21.8936170212766,-0.00103737147297417,0.0227118137380941
"sub-108",-0.43,0.42,-0.89,-1.25,-23.8936170212766,0.000212887771894904,-0.00508665889016972
"sub-109",-0.43,0.68,-0.33,1.43,-16.8936170212766,-9.55611848848402e-05,0.0016143740595439
"sub-110",0.57,0.77,-1.29,-1.26,-24.8936170212766,5.38822181880719e-05,-0.00134132330383073
"sub-111",0.57,-0.69,0.15,-1.25,35.1063829787234,-0.00142970882601305,-0.0501919055940751
"sub-112",-0.43,0.82,-0.93,0.99,-21.8936170212766,0.000661029871210808,-0.0144723348399132
"sub-113",-0.43,-1.14,0.37,0.81,-10.8936170212766,0.000285521320424996,-0.0031103599161191
"sub-115",-0.43,0.75,-0.52,0.94,-23.8936170212766,2.9482772573869e-05,-0.000704450076605423
"sub-116",-0.43,-0.45,-0.46,0.18,-19.8936170212766,0.000666525459979633,-0.013259602235765
"sub-117",-0.43,1.08,-0.89,0.31,-24.8936170212766,-2.21034068740803e-05,0.000550233745588808
"sub-118",-0.43,-1.06,0.78,0.21,-23.8936170212766,-0.000788507545222016,0.0188402973039218
"sub-121",-0.43,1.82,-1.13,0.28,-24.8936170212766,0.000429818994259792,-0.0106997494315735
"sub-122",-0.43,1.76,-1.01,1.49,-24.8936170212766,-0.00025716304405868,0.00640171833082246
"sub-124",0.57,0.75,-0.62,0.57,-24.8936170212766,0.000314477358276864,-0.00782847891880703
"sub-125",-0.43,1.78,-1.06,1.67,-23.8936170212766,-0.000299381082808803,0.00715329693604863
"sub-126",0.57,-0.88,-0.42,0.36,-24.8936170212766,-0.000109279581790566,0.00272036405733963
"sub-127",-0.43,0.73,-0.59,0.8,31.1063829787234,0.000664883536271197,0.0206821219154998
"sub-128",0.57,0.35,0.35,-1.27,18.1063829787234,0.000617684845432512,0.0111840383715546
"sub-129",0.57,-1.14,2.26,-1.26,23.1063829787234,0.000374000696140146,0.00864180331932337
"sub-130",-0.43,-1.26,1.24,1.18,23.1063829787234,-5.23046798216063e-05,-0.00120857196353754
"sub-132",-0.43,-0.11,-0.01,1.63,28.1063829787234,1.11591259236788e-05,0.000313642666918716
"sub-133",0.57,1.06,0.05,0.91,25.1063829787234,-0.000107600218130361,-0.00270145228497503
"sub-134",-0.43,-0.77,0.12,-1.25,20.1063829787234,-8.00059979351024e-05,-0.00160863123507812
"sub-135",0.57,-0.65,1.02,-1.25,24.1063829787234,0.000620662725013113,0.0149619333497842
"sub-136",-0.43,0.22,-0.47,-1.24,20.1063829787234,6.27186605545017e-05,0.00126104540902136
"sub-137",0.57,-0.55,0.79,-0.79,27.1063829787234,0.000692329393302943,0.0187665456822968
"sub-138",0.57,-1.7,2.96,-0.17,23.1063829787234,-0.000370839466227441,-0.00856875873027661
"sub-140",0.57,-0.74,0.95,-0.42,23.1063829787234,-0.000131528008095591,-0.00303913652748536
"sub-141",-0.43,0.51,-0.03,-0.91,31.1063829787234,-7.15731589065443e-05,-0.00222638209194399
"sub-142",-0.43,-0.16,0.41,1.53,25.1063829787234,5.16620964876359e-05,0.00129704837990235
"sub-143",-0.43,1.6,-0.25,-1.26,28.1063829787234,-0.000101575832966309,-0.00285492926273392
"sub-144",0.57,-2.07,1.86,-1.26,27.1063829787234,-5.49667996349213e-05,-0.00148995112201893
"sub-147",-0.43,-1,0.68,0.01,20.1063829787234,0.000333860966998542,0.00671273646411962
"sub-149",0.57,-0.94,1.68,-1.25,21.1063829787234,-0.000365253771261299,-0.00770918598066401
"sub-150",-0.43,-0.54,-0.21,0.64,-21.8936170212766,-0.00208358214009591,0.0456171494076317
"sub-151",-0.43,-1.12,1,-1.25,20.1063829787234,0.000596589603680455,0.011995259052724
"sub-152",0.57,-1.25,1.56,-1.26,21.1063829787234,-0.00011972336420961,-0.00252692717650922
"sub-153",0.57,0.01,-0.61,-1.24,-15.8936170212766,0.000641478827953816,-0.0101954188187553
"sub-154",-0.43,0.28,0.06,0.32,22.1063829787234,0.000897862667616952,0.0198484959926386
"sub-155",0.57,0.9,-1.23,0.38,-14.8936170212766,0.000742124867316014,-0.0110529235557704
"sub-156",-0.43,-1.21,0.66,1.02,-14.8936170212766,-4.39661840608532e-05,0.000654815507289304
"sub-157",0.57,-0.81,-0.33,0.2,-19.8936170212766,0.000332317298075353,-0.00661099305745649
"sub-158",0.57,-0.34,-0.65,1.02,-18.8936170212766,8.36245215705207e-05,-0.0015799696841409
"sub-159",-0.43,1.22,-1.18,-0.49,-20.8936170212766,-0.00150709239484134,0.0314886113134936
