"participant_id","ismale","tsnr","fd_mean","RT","age_norm","Hum_Com_epsilon_mean","Hum_Com_epsilon_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-1.05824178694308,-0.000523856507175433,0.000554366846255089
"sub-105",-0.43,1.44,-1.21,1.03,-1.0157312194334,-0.0152568314790496,0.0154968400429048
"sub-106",-0.43,0.84,-0.3,0.01,-1.05824178694308,0.00660035033024068,-0.00698476652792422
"sub-107",0.57,0.47,-1.18,0.16,-0.930710084414038,0.0886707946391296,-0.0825268027636441
"sub-108",-0.43,0.42,-0.89,-1.25,-1.0157312194334,-0.013911642650203,0.0141304897534124
"sub-109",-0.43,0.68,-0.33,1.43,-0.718157246865643,-0.0029656550770214,0.00212980668526681
"sub-110",0.57,0.77,-1.29,-1.26,-1.05824178694308,0.00453468628236975,-0.00479879451468122
"sub-111",0.57,-0.69,0.15,-1.25,1.49239226363767,-0.001117104788546,-0.00166715854409865
"sub-112",-0.43,0.82,-0.93,0.99,-0.930710084414038,0.000443350456498037,-0.00041263074079229
"sub-113",-0.43,-1.14,0.37,0.81,-0.463093841807568,-0.0583314812416675,0.0270129497465299
"sub-115",-0.43,0.75,-0.52,0.94,-1.0157312194334,0.00164100929038343,-0.00166682436762269
"sub-116",-0.43,-0.45,-0.46,0.18,-0.84568894939468,0.00593250045496853,-0.0050170500770458
"sub-117",-0.43,1.08,-0.89,0.31,-1.05824178694308,0.00119452814446674,-0.00126409959815428
"sub-118",-0.43,-1.06,0.78,0.21,-1.0157312194334,0.0030520501167015,-0.00310006258680905
"sub-121",-0.43,1.82,-1.13,0.28,-1.05824178694308,-0.0363728631175407,0.0384912836617421
"sub-122",-0.43,1.76,-1.01,1.49,-1.05824178694308,2.17962202255471e-05,-2.30656710400878e-05
"sub-124",0.57,0.75,-0.62,0.57,-1.05824178694308,-0.00236302720644073,0.00250065413353895
"sub-125",-0.43,1.78,-1.06,1.67,-1.0157312194334,0.00489572573226355,-0.00497274146804351
"sub-126",0.57,-0.88,-0.42,0.36,-1.05824178694308,-0.00199074228486285,0.00210668667287641
"sub-127",-0.43,0.73,-0.59,0.8,1.32234999359895,0.00541347232200348,0.00715850509034941
"sub-128",0.57,0.35,0.35,-1.27,0.769712615973126,0.00724225021375153,0.00557445135755862
"sub-129",0.57,-1.14,2.26,-1.26,0.982265453521521,-0.00272952543713201,-0.00268111854140301
"sub-130",-0.43,-1.26,1.24,1.18,0.982265453521521,-0.0029869573691196,-0.00293398503482772
"sub-132",-0.43,-0.11,-0.01,1.63,1.19481829106992,-0.00319603023902953,-0.00381867538840504
"sub-133",0.57,1.06,0.05,0.91,1.06728658854088,0.0033301087092679,0.00355418036378481
"sub-134",-0.43,-0.77,0.12,-1.25,0.854733750992484,-0.00253748946570221,-0.00216887788912357
"sub-135",0.57,-0.65,1.02,-1.25,1.0247760210312,0.0063679284759081,0.00652570040575238
"sub-136",-0.43,0.22,-0.47,-1.24,0.854733750992484,0.0013315825848547,0.00113814857750912
"sub-137",0.57,-0.55,0.79,-0.79,1.15230772356024,0.00291548353107274,0.00335953419076779
"sub-138",0.57,-1.7,2.96,-0.17,0.982265453521521,0.0141646934800679,0.0139134890651923
"sub-140",0.57,-0.74,0.95,-0.42,0.982265453521521,-0.00331705371340992,-0.00325822727015784
"sub-141",-0.43,0.51,-0.03,-0.91,1.32234999359895,-0.00332812470080124,-0.00440094567680104
"sub-142",-0.43,-0.16,0.41,1.53,1.06728658854088,0.0058671284713415,0.00626190753070913
"sub-143",-0.43,1.6,-0.25,-1.26,1.19481829106992,0.00251429787910466,0.00300412909515254
"sub-144",0.57,-2.07,1.86,-1.26,1.15230772356024,0.00233784126362286,0.00269391254453045
"sub-147",-0.43,-1,0.68,0.01,0.854733750992484,-0.00242317470167908,-0.00207116920207626
"sub-149",0.57,-0.94,1.68,-1.25,0.897244318502163,0.000723641245069566,0.0006492829957725
"sub-150",-0.43,-0.54,-0.21,0.64,-0.930710084414038,-0.038223563219145,0.0355750557502958
"sub-151",-0.43,-1.12,1,-1.25,0.854733750992484,0.00603175583601324,0.0051555452907864
"sub-152",0.57,-1.25,1.56,-1.26,0.897244318502163,-0.00256910644628754,-0.00230511616255878
"sub-153",0.57,0.01,-0.61,-1.24,-0.675646679355964,-0.00122986560300638,0.000830954610725381
"sub-154",-0.43,0.28,0.06,0.32,0.939754886011842,0.00640253106576757,0.00601680985189769
"sub-155",0.57,0.9,-1.23,0.38,-0.633136111846285,0.00734138099611484,-0.00464809341946236
"sub-156",-0.43,-1.21,0.66,1.02,-0.633136111846285,-0.000717167792681331,0.00045406482779964
"sub-157",0.57,-0.81,-0.33,0.2,-0.84568894939468,-0.000353319537415499,0.000298798428397528
"sub-158",0.57,-0.34,-0.65,1.02,-0.803178381885001,0.00225164413958673,-0.00180847189661411
"sub-159",-0.43,1.22,-1.18,-0.49,-0.888199516904359,0.00522205069712191,-0.00463822290643375
