"subjID","computer_alpha","computer_epsilon","human_alpha","human_epsilon","outgroup_alpha","outgroup_epsilon","ingroup_alpha","ingroup_epsilon"
"sub-106",0.977932443089721,0.000207042735232976,0.990170204270136,5.06441805304403e-05,0.975487092512808,0.000203514115122261,0.977350301588264,0.000238014977249373
"sub-109",0.0924974531207126,0.000216480495202065,0.127583724336723,5.72525164047877e-05,0.092025664372328,0.000210330021973931,0.18088565902072,0.000244435180209751
"sub-110",0.591595427483132,0.000219376675257954,0.645909519084625,5.83146377148847e-05,0.538483970355848,0.000211366015518522,0.802684695444,0.000246556909290041
"sub-105",0.576108204908305,0.000217036335971005,0.500734565357956,6.07165831738032e-05,0.424412809229983,0.000216898269398469,0.614938865809313,0.000253341116030537
"sub-108",0.939096537904248,0.000215584695586662,0.761010632108227,5.80410128328268e-05,0.9456718634555,0.000212978603776781,0.515399948873352,0.000249393001135578
"sub-107",0.970228166625417,0.000213190546721614,0.944412272766398,5.72046345865551e-05,0.958258838488395,0.000209913201749484,0.768767841333903,0.000248247944900443
"sub-111",0.585440708178105,0.000225395728219668,0.58185110627601,6.44482206683672e-05,0.386408292916664,0.000216676594835125,0.850474873587541,0.000257487162969527
"sub-112",0.220383206106994,0.000218025484959361,0.43923132500278,5.46447772530323e-05,0.425511551812644,0.000210040760781016,0.467926664934697,0.000244250358968634
"sub-113",0.972870958342614,0.000212617939831211,0.973121549784615,5.32433113215602e-05,0.945586469992281,0.000207329463709244,0.947498476212648,0.00023962313122225
"sub-115",0.640195319922284,0.000218138912317117,0.507110854369301,5.75609852030701e-05,0.378249062547323,0.000211461743811286,0.694967182084417,0.000252799345610344
"sub-116",0.980286481461223,0.000207759643848726,0.987649041699592,5.29105971387445e-05,0.972058900305494,0.000204232948078031,0.970753864946449,0.000242603945815129
"sub-117",0.22272317914898,0.000221934111634459,0.189678699060446,5.89330754280915e-05,0.171916528332131,0.000210100387711076,0.21037232856328,0.00024996160646798
"sub-118",0.133712634162436,0.000223849244104735,0.283025637903918,5.7787044683677e-05,0.620092173179004,0.000215361101856715,0.15323997563298,0.000249257948646109
