"participant_id","ismale","tsnr","fd_mean","RT","age_mean","IN_OUT_alpha_mean","IN_OUT_alpha_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-24.8936170212766,-0.178248661978723,4.43725392585333
"sub-105",-0.43,1.44,-1.21,1.03,-23.8936170212766,0.0187782660212766,-0.448680696636034
"sub-106",-0.43,0.84,-0.3,0.01,-24.8936170212766,-0.0240099659787234,0.597694897768221
"sub-107",0.57,0.47,-1.18,0.16,-21.8936170212766,-0.868550283978723,19.0157072811512
"sub-108",-0.43,0.42,-0.89,-1.25,-23.8936170212766,-0.732196913978723,17.4948326467682
"sub-109",-0.43,0.68,-0.33,1.43,-16.8936170212766,-0.150612078978723,2.54438278104482
"sub-110",0.57,0.77,-1.29,-1.26,-24.8936170212766,0.0695088410212766,-1.73032646797646
"sub-111",0.57,-0.69,0.15,-1.25,35.1063829787234,0.309600448021277,10.8689518986193
"sub-112",-0.43,0.82,-0.93,0.99,-21.8936170212766,-0.152419374978723,3.33701142240652
"sub-113",-0.43,-1.14,0.37,0.81,-10.8936170212766,0.0374826380212767,-0.408321503550929
"sub-115",-0.43,0.75,-0.52,0.94,-23.8936170212766,0.197493122021277,-4.71882502191263
"sub-116",-0.43,-0.45,-0.46,0.18,-19.8936170212766,-0.258888560978723,5.15022988330013
"sub-117",-0.43,1.08,-0.89,0.31,-24.8936170212766,-0.166824190978723,4.15285752010865
"sub-118",-0.43,-1.06,0.78,0.21,-23.8936170212766,-0.619842670978723,14.8102833938108
"sub-121",-0.43,1.82,-1.13,0.28,-24.8936170212766,-0.251452205978723,6.2595549147895
"sub-122",-0.43,1.76,-1.01,1.49,-24.8936170212766,-0.266902201978723,6.64416119819375
"sub-124",0.57,0.75,-0.62,0.57,-24.8936170212766,-0.117991837978723,2.93724362627886
"sub-125",-0.43,1.78,-1.06,1.67,-23.8936170212766,-0.214447341978723,5.12392266047035
"sub-126",0.57,-0.88,-0.42,0.36,-24.8936170212766,-0.165336313978723,4.11581887989588
"sub-127",-0.43,0.73,-0.59,0.8,31.1063829787234,0.812295774021277,25.2675834387044
"sub-128",0.57,0.35,0.35,-1.27,18.1063829787234,1.57381850602128,28.4961606090235
"sub-129",0.57,-1.14,2.26,-1.26,23.1063829787234,-0.392160263978723,-9.06140524852965
"sub-130",-0.43,-1.26,1.24,1.18,23.1063829787234,-0.176683542978723,-4.08251761010412
"sub-132",-0.43,-0.11,-0.01,1.63,28.1063829787234,-0.173153231978723,-4.86671105199774
"sub-133",0.57,1.06,0.05,0.91,25.1063829787234,-0.189382971978723,-4.75472142414667
"sub-134",-0.43,-0.77,0.12,-1.25,20.1063829787234,-0.130363791978723,-2.62114432808284
"sub-135",0.57,-0.65,1.02,-1.25,24.1063829787234,7.17157746302128,172.880792885172
"sub-136",-0.43,0.22,-0.47,-1.24,20.1063829787234,0.104655100021277,2.10423552170439
"sub-137",0.57,-0.55,0.79,-0.79,27.1063829787234,-0.797339366978723,-21.6129862453382
"sub-138",0.57,-1.7,2.96,-0.17,23.1063829787234,-0.231208174978723,-5.34238463887008
"sub-140",0.57,-0.74,0.95,-0.42,23.1063829787234,-0.116170820978723,-2.6842874804871
"sub-141",-0.43,0.51,-0.03,-0.91,31.1063829787234,-0.171298919978723,-5.32848980869986
"sub-142",-0.43,-0.16,0.41,1.53,25.1063829787234,-0.136328025978723,-3.42270363095518
"sub-143",-0.43,1.6,-0.25,-1.26,28.1063829787234,-0.320632366978723,-9.01181610167859
"sub-144",0.57,-2.07,1.86,-1.26,27.1063829787234,-0.317092127978723,-8.59522066052965
"sub-147",-0.43,-1,0.68,0.01,20.1063829787234,-0.147971300978723,-2.97516764733816
"sub-149",0.57,-0.94,1.68,-1.25,21.1063829787234,-0.267359241978723,-5.64298655410412
"sub-150",-0.43,-0.54,-0.21,0.64,-21.8936170212766,-0.460294408978723,10.077509507215
"sub-151",-0.43,-1.12,1,-1.25,20.1063829787234,0.0376120410212766,0.756242101385242
"sub-152",0.57,-1.25,1.56,-1.26,21.1063829787234,-0.180972693978723,-3.81967898780625
"sub-153",0.57,0.01,-0.61,-1.24,-15.8936170212766,-0.245953226978723,3.90908639474694
"sub-154",-0.43,0.28,0.06,0.32,22.1063829787234,0.142320273021277,3.14618646104482
"sub-155",0.57,0.9,-1.23,0.38,-14.8936170212766,0.127260666021277,-1.89537162159348
"sub-156",-0.43,-1.21,0.66,1.02,-14.8936170212766,-0.175371850978723,2.6119211847895
"sub-157",0.57,-0.81,-0.33,0.2,-19.8936170212766,-0.120640822978723,2.39998232947035
"sub-158",0.57,-0.34,-0.65,1.02,-18.8936170212766,-0.735244613978723,13.8914301534703
"sub-159",-0.43,1.22,-1.18,-0.49,-20.8936170212766,-0.949058765978724,19.8292703870448
