subjID	offer	accept	response_time	human	ingroup	block_fair	run
sub-106	3	0	1.06745	1	0	0	1
sub-106	2	0	0.56093	1	0	0	1
sub-106	4	0	0.42044	1	0	0	1
sub-106	2	0	0.54413	1	0	0	1
sub-106	4	0	0.494	1	0	0	1
sub-106	6	1	0.78594	1	0	0	1
sub-106	4	0	0.25812	1	0	0	1
sub-106	10	1	0.34166	1	0	0	1
sub-106	7	1	0.53621	1	0	1	1
sub-106	5	0	0.41046	1	0	1	1
sub-106	10	1	0.02033	1	0	1	1
sub-106	10	1	0.37983	1	0	1	1
sub-106	8	1	0.2049	1	0	1	1
sub-106	3	0	0.01945	1	0	1	1
sub-106	10	1	0.0278499999999999	1	0	1	1
sub-106	10	1	0.25503	1	0	1	1
sub-106	8	1	0.39347	1	0	1	1
sub-106	9	1	0.36493	1	0	1	1
sub-106	7	1	0.9853	1	0	1	1
sub-106	8	1	0.24661	1	0	1	1
sub-106	2	0	0.0285	1	0	1	1
sub-106	5	0	0.0566199999999999	1	0	1	1
sub-106	9	1	0.24085	1	0	1	1
sub-106	9	1	0.0235399999999999	1	0	1	1
sub-106	3	0	0.37831	1	0	0	1
sub-106	4	0	0.38636	1	0	0	1
sub-106	5	0	0.0247200000000001	1	0	0	1
sub-106	9	1	0.26125	1	0	0	1
sub-106	2	0	0.28887	1	0	0	1
sub-106	1	0	0.02538	1	0	0	1
sub-106	1	0	0.02058	1	0	0	1
sub-106	1	0	0.0280199999999999	1	0	0	1
sub-106	10	1	0.72729	1	0	1	2
sub-106	7	1	0.38326	1	0	1	2
sub-106	9	1	0.02121	1	0	1	2
sub-106	9	1	0.263	1	0	1	2
sub-106	3	0	0.23828	1	0	1	2
sub-106	8	0	0.0190300000000001	1	0	1	2
sub-106	5	0	0.3617	1	0	1	2
sub-106	7	1	0.0948199999999999	1	0	1	2
sub-106	4	0	0.37365	1	0	0	2
sub-106	1	0	0.31589	1	0	0	2
sub-106	9	1	0.30655	1	0	0	2
sub-106	2	0	0.38757	1	0	0	2
sub-106	1	0	0.0499799999999999	1	0	0	2
sub-106	5	0	0.75299	1	0	0	2
sub-106	4	0	0.40082	1	0	0	2
sub-106	3	0	0.03233	1	0	0	2
sub-109	5	1	1.60534	1	0	1	1
sub-109	10	1	0.38356	1	0	1	1
sub-109	8	1	1.01899	1	0	1	1
sub-109	10	1	0.71702	1	0	1	1
sub-109	8	1	0.60508	1	0	1	1
sub-109	10	1	0.76476	1	0	1	1
sub-109	2	1	1.34071	1	0	1	1
sub-109	8	1	0.8808	1	0	1	1
sub-109	6	1	1.04018	1	0	0	1
sub-109	3	1	1.86638	1	0	0	1
sub-109	1	0	1.78265	1	0	0	1
sub-109	2	1	0.99855	1	0	0	1
sub-109	8	1	0.77617	1	0	0	1
sub-109	2	1	0.47303	1	0	0	1
sub-109	3	1	0.51062	1	0	0	1
sub-109	2	1	1.31259	1	0	1	1
sub-109	8	1	1.03626	1	0	1	1
