"subjID","ingroup_randIntercept","outgroup_randIntercept","ingroup_randSlope","outgroup_randSlope","ingroup_norm","outgroup_norm","in_out_logit","younger","older","ismale","tsnr","fd_mean","RT","in_out_demean","in_out_young","in_out_old","ones"
"sub-104",7.42525077058538,6.99690426482036,-0.38737246352173,-0.330049395094982,1.8398927960255,1.37231085316438,0.467581942861122,1,0,0.574,0.335345346,-1.109117337,0.256,0.334662445139045,0.334662445139045,0,1
"sub-105",0.785677057164952,-0.107207883646413,-0.467683702793823,0.243528102542992,-3.70285997027676,-2.81340178688053,-0.889458183396232,1,0,-0.426,1.43926098,-1.214960371,1.03,-1.02237768111831,-1.02237768111831,0,1
"sub-106",-10.1242873892029,-5.31844958283991,0.800911228287752,0.0618827430479597,-6.24916899175047,-6.17227004881772,-0.0768989429327469,1,0,-0.426,0.84197575,-0.295734173,0.00677,-0.209818440654823,-0.209818440654823,0,1
"sub-107",-0.832785707009252,-1.49212203184889,-0.217974919444733,-0.4720297718244,-4.19114886825569,-5.7184225208901,1.52727365263441,1,0,0.574,0.467173848,-1.179449315,0.164,1.39435415491233,1.39435415491233,0,1
"sub-108",2.41644953703269,-4.19498617959537,-0.829156274565605,0.236248077638577,-3.34189751284873,-5.00097409616771,1.65907658331898,1,0,-0.426,0.4199414,-0.888679465,-1.25,1.5261570855969,1.5261570855969,0,1
"sub-109",1.98782772636716,2.63680524001094,0.447669772579044,0.443652884275732,-1.50233080280644,-1.22759688257479,-0.274733920231655,1,0,-0.426,0.680348289,-0.333947122,1.43,-0.407653417953732,-0.407653417953732,0,1
"sub-110",-2.10737645328257,0.839934341558766,0.0480765304609428,-0.338509763099324,-4.28571373251016,-3.34313016527857,-0.942583567231586,1,0,0.574,0.771201523,-1.292912535,-1.26,-1.07550306495366,-1.07550306495366,0,1
"sub-111",0.0228723840531661,1.89024778549222,-0.522470273694863,-0.41066142915595,-4.56781749857954,-2.6859069170674,-1.88191058151213,0,1,0.574,-0.691764793,0.146433278,-1.25,-2.01483007923421,0,-2.01483007923421,1
"sub-112",-2.35083773990649,-1.42851607358048,0.791759754436909,0.569939909710156,-3.07462617291648,-2.9956065111835,-0.0790196617329721,1,0,-0.426,0.817466001,-0.931557862,0.991,-0.211939159455048,-0.211939159455048,0,1
"sub-113",-4.95338886341942,-5.96790167685992,0.236765002860587,0.6254288788344,-5.37190895716125,-4.92450571816474,-0.447403238996514,1,0,-0.426,-1.142227911,0.36502216,0.813,-0.58032273671859,-0.58032273671859,0,1
"sub-115",4.4459712492168,5.07977919730207,-1.49171713203336,-1.49880870663172,-4.59664999082449,-0.818942822187226,-3.77770716863726,1,0,-0.426,0.750329892,-0.517222174,0.94,-3.91062666635934,-3.91062666635934,0,1
"sub-116",-8.97552241158724,-8.20490881909175,0.686080384694495,0.521150343287245,-6.06371966419344,-6.19618957268677,0.132469908493324,1,0,-0.426,-0.449037222,-0.458864599,0.183,-0.000449589228752711,-0.000449589228752711,0,1
"sub-117",1.2702220338168,1.69232161463136,0.653493908469723,0.512443439806349,-1.68048004337967,-1.62683491222512,-0.0536451311545474,1,0,-0.426,1.075760056,-0.887283578,0.308,-0.186564628876624,-0.186564628876624,0,1
"sub-118",5.41397753220777,3.15387582407843,-1.45404756726609,-1.0900942743956,1.5764223533531,-3.70332368791806,5.27974604127117,1,0,-0.426,-1.060535185,0.783193711,0.214,5.14682654354909,5.14682654354909,0,1
"sub-121",-0.619045511838198,-1.54971442658394,0.261368356381622,0.360952337386321,-3.02145657720142,-3.36872352506703,0.347266947865618,1,0,-0.426,1.822941324,-1.128909272,0.276,0.214347450143542,0.214347450143542,0,1
"sub-122",4.48624977144032,3.13770936565558,-0.0420282160720395,-0.391671023318475,-0.398469944298826,-1.64719937848842,1.2487294341896,1,0,-0.426,1.759997806,-1.012660134,1.49,1.11580993646752,1.11580993646752,0,1
"sub-124",1.90503707836524,3.08960654460807,0.626725365030064,0.253572932776568,-1.42014184699994,-1.111806814223,-0.308335032776943,1,0,0.574,0.750570699,-0.622688021,0.565,-0.441254530499019,-0.441254530499019,0,1
"sub-125",0.547136801597295,0.30114427285079,-0.712124414011966,-0.6598216683654,-4.93687980544708,-4.98579086877516,0.0489110633280774,1,0,-0.426,1.781157475,-1.063575099,1.67,-0.084008434393999,-0.084008434393999,0,1
