"subID","run","block_type","BlockNum","BlockTrial","BlockInclude"
"sub-106",1,"block_outgroup_unfair",1,8,"yes"
"sub-106",1,"block_computer_fair",2,8,"yes"
"sub-106",1,"block_outgroup_fair",3,8,"yes"
"sub-106",1,"block_ingroup_fair",4,8,"yes"
"sub-106",1,"block_outgroup_fair",5,8,"yes"
"sub-106",1,"block_computer_unfair",6,8,"yes"
"sub-106",1,"block_ingroup_fair",7,8,"yes"
"sub-106",1,"block_outgroup_unfair",8,8,"yes"
"sub-106",1,"block_ingroup_unfair",9,8,"yes"
"sub-106",2,"block_outgroup_fair",1,8,"yes"
"sub-106",2,"block_computer_fair",2,8,"yes"
"sub-106",2,"block_outgroup_unfair",3,8,"yes"
"sub-106",2,"block_computer_fair",4,8,"yes"
"sub-106",2,"block_ingroup_fair",5,8,"yes"
"sub-106",2,"block_computer_unfair",6,8,"yes"
"sub-106",2,"block_ingroup_unfair",7,8,"yes"
"sub-106",2,"block_computer_unfair",8,8,"yes"
"sub-106",2,"block_ingroup_unfair",9,8,"yes"
"sub-109",1,"block_ingroup_fair",1,8,"yes"
"sub-109",1,"block_outgroup_fair",2,8,"yes"
"sub-109",1,"block_computer_unfair",3,6,"yes"
"sub-109",1,"block_computer_fair",4,7,"yes"
"sub-109",1,"block_outgroup_unfair",5,7,"yes"
"sub-109",1,"block_ingroup_fair",6,7,"yes"
"sub-109",1,"block_outgroup_fair",7,7,"yes"
"sub-109",1,"block_outgroup_unfair",8,7,"yes"
"sub-109",1,"block_ingroup_unfair",9,7,"yes"
"sub-109",2,"block_computer_fair",1,7,"yes"
"sub-109",2,"block_ingroup_unfair",2,7,"yes"
"sub-109",2,"block_computer_fair",3,6,"yes"
"sub-109",2,"block_outgroup_fair",4,8,"yes"
"sub-109",2,"block_computer_unfair",5,7,"yes"
"sub-109",2,"block_ingroup_unfair",6,6,"yes"
"sub-109",2,"block_computer_unfair",7,8,"yes"
"sub-109",2,"block_ingroup_fair",8,7,"yes"
"sub-109",2,"block_outgroup_unfair",9,6,"yes"
"sub-104",1,"block_outgroup_fair",1,8,"yes"
"sub-104",1,"block_outgroup_unfair",2,8,"yes"
"sub-104",1,"block_ingroup_unfair",3,8,"yes"
"sub-104",1,"block_computer_unfair",4,8,"yes"
"sub-104",1,"block_ingroup_unfair",5,8,"yes"
"sub-104",1,"block_computer_fair",6,8,"yes"
"sub-104",1,"block_computer_unfair",7,8,"yes"
"sub-104",1,"block_ingroup_fair",8,8,"yes"
"sub-104",1,"block_computer_fair",9,8,"yes"
"sub-104",2,"block_outgroup_fair",1,8,"yes"
"sub-104",2,"block_ingroup_fair",2,8,"yes"
"sub-104",2,"block_outgroup_unfair",3,8,"yes"
"sub-104",2,"block_outgroup_fair",4,8,"yes"
"sub-104",2,"block_ingroup_fair",5,8,"yes"
"sub-104",2,"block_computer_fair",6,8,"yes"
"sub-104",2,"block_computer_unfair",7,8,"yes"
"sub-104",2,"block_ingroup_unfair",8,8,"yes"
"sub-104",2,"block_outgroup_unfair",9,8,"yes"
"sub-110",1,"block_outgroup_unfair",1,8,"yes"
"sub-110",1,"block_computer_fair",2,8,"yes"
"sub-110",1,"block_outgroup_fair",3,8,"yes"
"sub-110",1,"block_ingroup_fair",4,8,"yes"
"sub-110",1,"block_outgroup_fair",5,8,"yes"
"sub-110",1,"block_ingroup_fair",6,8,"yes"
"sub-110",1,"block_ingroup_unfair",7,8,"yes"
"sub-110",1,"block_outgroup_unfair",8,8,"yes"
"sub-110",1,"block_computer_unfair",9,8,"yes"
"sub-110",2,"block_outgroup_fair",1,8,"yes"
"sub-110",2,"block_computer_unfair",2,8,"yes"
"sub-110",2,"block_ingroup_unfair",3,8,"yes"
"sub-110",2,"block_computer_unfair",4,8,"yes"
"sub-110",2,"block_outgroup_unfair",5,8,"yes"
"sub-110",2,"block_computer_fair",6,8,"yes"
"sub-110",2,"block_ingroup_fair",7,8,"yes"
"sub-110",2,"block_ingroup_unfair",8,8,"yes"
"sub-110",2,"block_computer_fair",9,8,"yes"
"sub-105",1,"block_outgroup_unfair",1,8,"yes"
"sub-105",1,"block_outgroup_fair",2,8,"yes"
"sub-105",1,"block_ingroup_fair",3,8,"yes"
"sub-105",1,"block_computer_fair",4,8,"yes"
"sub-105",1,"block_ingroup_fair",5,8,"yes"
"sub-105",1,"block_computer_unfair",6,7,"yes"
"sub-105",1,"block_ingroup_unfair",7,8,"yes"
"sub-105",1,"block_outgroup_fair",8,8,"yes"
"sub-105",1,"block_outgroup_unfair",9,8,"yes"
"sub-105",2,"block_ingroup_unfair",1,8,"yes"
"sub-105",2,"block_computer_fair",2,8,"yes"
"sub-105",2,"block_ingroup_fair",3,8,"yes"
