"subjID","ones","ismale","tsnr","fd_mean","RT","younger","older","soc_nonsoc_young","soc_nonsoc_old"
"sub-104",1,0.574,0.335345346,-1.109117337,0.256,1,0,0.20185409404517,0
"sub-105",1,-0.426,1.43926098,-1.214960371,1.03,1,0,-0.139940470252859,0
"sub-106",1,-0.426,0.84197575,-0.295734173,0.00677,1,0,-0.28519441257624,0
"sub-107",1,0.574,0.467173848,-1.179449315,0.164,1,0,-0.246889208560861,0
"sub-108",1,-0.426,0.4199414,-0.888679465,-1.25,1,0,-0.673148567761367,0
"sub-109",1,-0.426,0.680348289,-0.333947122,1.43,1,0,1.36294474835524,0
"sub-110",1,0.574,0.771201523,-1.292912535,-1.26,1,0,-0.110820395720205,0
"sub-111",1,0.574,-0.691764793,0.146433278,-1.25,0,1,0,-1.15945904760909
"sub-112",1,-0.426,0.817466001,-0.931557862,0.991,1,0,1.01790696914924,0
"sub-113",1,-0.426,-1.142227911,0.36502216,0.813,1,0,0.146457238310346,0
"sub-115",1,-0.426,0.750329892,-0.517222174,0.94,1,0,-0.584210259268644,0
"sub-116",1,-0.426,-0.449037222,-0.458864599,0.183,1,0,-0.00123912504368445,0
"sub-117",1,-0.426,1.075760056,-0.887283578,0.308,1,0,0.806296113431957,0
"sub-118",1,-0.426,-1.060535185,0.783193711,0.214,1,0,-0.371413549142495,0
"sub-121",1,-0.426,1.822941324,-1.128909272,0.276,1,0,0.54522405909683,0
"sub-122",1,-0.426,1.759997806,-1.012660134,1.49,1,0,-0.110178652704493,0
"sub-124",1,0.574,0.750570699,-0.622688021,0.565,1,0,0.799037294824167,0
"sub-125",1,-0.426,1.781157475,-1.063575099,1.67,1,0,-0.434725041557057,0
"sub-126",1,0.574,-0.881321934,-0.422387959,0.357,1,0,0.128295855750298,0
"sub-127",1,-0.426,0.726955566,-0.586700833,0.802,0,1,0,-0.283464022478774
"sub-128",1,0.574,0.354984567,0.35040772,-1.27,0,1,0,-0.124421860812199
"sub-129",1,0.574,-1.141721185,2.26385679,-1.26,0,1,0,0.00638790860576838
"sub-130",1,-0.426,-1.262876457,1.236388009,1.18,0,1,0,0.615872237184932
"sub-132",1,-0.426,-0.107125145,-0.012961885,1.63,0,1,0,-0.194375946696938
"sub-133",1,0.574,1.055715262,0.050489502,0.906,0,1,0,0.685594051822782
"sub-134",1,-0.426,-0.770087816,0.121069128,-1.25,0,1,0,1.14859726549548
"sub-135",1,0.574,-0.653236011,1.016904241,-1.25,0,1,0,-0.977324482321083
"sub-136",1,-0.426,0.220981734,-0.470718126,-1.24,0,1,0,-0.358917691287982
"sub-137",1,0.574,-0.54577279,0.786471014,-0.791,0,1,0,-0.423786339013585
"sub-138",1,0.574,-1.700501417,2.956665728,-0.168,0,1,0,-0.362458331584405
"sub-140",1,0.574,-0.738385115,0.945144959,-0.417,0,1,0,-0.483178906282574
"sub-141",1,-0.426,0.509990371,-0.031470684,-0.91,0,1,0,0.756776616345728
"sub-142",1,-0.426,-0.159519738,0.411082901,1.53,0,1,0,0.913332111844893
"sub-143",1,-0.426,1.600072485,-0.251220667,-1.26,0,1,0,-0.270041673049787
"sub-144",1,0.574,-2.070394775,1.857227144,-1.26,0,1,0,-0.270041673049787
"sub-147",1,-0.426,-1.000297491,0.677173554,0.0118,0,1,0,0.0563762585713694
"sub-149",1,0.574,-0.939580152,1.676162702,-1.25,0,1,0,0.778773169148214
"sub-150",1,-0.426,-0.537555218,-0.21095519,0.64,1,0,-0.5994295730656,0
"sub-151",1,-0.426,-1.120709642,1.001343862,-1.25,0,1,0,0.00912130961677732
"sub-152",1,0.574,-1.252682339,1.56148429,-1.26,0,1,0,0.189799606348445
"sub-153",1,0.574,0.007521336,-0.61313535,-1.24,1,0,-0.159869850792461,0
"sub-154",1,-0.426,0.280333975,0.064014578,0.316,0,1,0,-0.832364906196573
"sub-155",1,0.574,0.898209256,-1.233512086,0.383,1,0,-0.546283930953769,0
"sub-156",1,-0.426,-1.213480721,0.657957535,1.02,1,0,0.164145966673495,0
"sub-157",1,0.574,-0.808294548,-0.32672095,0.195,1,0,0.303409626381799,0
"sub-158",1,0.574,-0.339626837,-0.648509396,1.02,1,0,0.446234269668332,0
"sub-159",1,-0.426,1.218499501,-1.182638625,-0.494,1,0,-1.07925885288874,0
