"participant_id","ismale","tsnr","fd_mean","RT","age_mean","Hum_Com_alpha_mean","Hum_Com_alpha_AGE"
"sub-104",0.57,0.34,-1.11,0.26,-24.8936170212766,0.0730337478050245,-1.81807414748678
"sub-105",-0.43,1.44,-1.21,1.03,-23.8936170212766,-0.092497875659513,2.21010881629007
"sub-106",-0.43,0.84,-0.3,0.01,-24.8936170212766,-0.248255037303623,6.17996582223912
"sub-107",0.57,0.47,-1.18,0.16,-21.8936170212766,1.6678562273941,-36.5154054891176
"sub-108",-0.43,0.42,-0.89,-1.25,-23.8936170212766,-0.844948914563348,20.18888576712
"sub-109",-0.43,0.68,-0.33,1.43,-16.8936170212766,0.165924111118707,-2.80305838783517
"sub-110",0.57,0.77,-1.29,-1.26,-24.8936170212766,0.157493249739291,-3.92057664244618
"sub-111",0.57,-0.69,0.15,-1.25,35.1063829787234,0.16152582455956,5.670587457942
"sub-112",-0.43,0.82,-0.93,0.99,-21.8936170212766,0.300334801894438,-6.5754151308378
"sub-113",-0.43,-1.14,0.37,0.81,-10.8936170212766,-5.96591522766766,64.9903956716137
"sub-115",-0.43,0.75,-0.52,0.94,-23.8936170212766,-0.123248057002003,2.94484187262233
"sub-116",-0.43,-0.45,-0.46,0.18,-19.8936170212766,-0.181404678163713,3.60879519325684
"sub-117",-0.43,1.08,-0.89,0.31,-24.8936170212766,0.065340601639743,-1.62656391315956
"sub-118",-0.43,-1.06,0.78,0.21,-23.8936170212766,0.266731858412194,-6.37318887227434
"sub-121",-0.43,1.82,-1.13,0.28,-24.8936170212766,-1.44479033690307,35.9660573229061
"sub-122",-0.43,1.76,-1.01,1.49,-24.8936170212766,0.0904259029309075,-2.25102779636514
"sub-124",0.57,0.75,-0.62,0.57,-24.8936170212766,0.123009902323122,-3.06216139825644
"sub-125",-0.43,1.78,-1.06,1.67,-23.8936170212766,0.296423730188767,-7.08263508514863
"sub-126",0.57,-0.88,-0.42,0.36,-24.8936170212766,0.0572629644326616,-1.42548230608966
"sub-127",-0.43,0.73,-0.59,0.8,31.1063829787234,-0.497460417040853,-15.4741942492282
"sub-128",0.57,0.35,0.35,-1.27,18.1063829787234,1.47224089939328,26.6569575613549
"sub-129",0.57,-1.14,2.26,-1.26,23.1063829787234,-0.0955850699345849,-2.20862523295658
"sub-130",-0.43,-1.26,1.24,1.18,23.1063829787234,0.0710550280024939,1.64182468958954
"sub-132",-0.43,-0.11,-0.01,1.63,28.1063829787234,0.0397945536249004,1.1184809646488
"sub-133",0.57,1.06,0.05,0.91,25.1063829787234,0.112139361481008,2.8154137563317
"sub-134",-0.43,-0.77,0.12,-1.25,20.1063829787234,0.132178228147776,2.65762607658826
"sub-135",0.57,-0.65,1.02,-1.25,24.1063829787234,1.36224244440797,32.8387380747708
"sub-136",-0.43,0.22,-0.47,-1.24,20.1063829787234,0.133782153242828,2.68987520881856
"sub-137",0.57,-0.55,0.79,-0.79,27.1063829787234,-0.244271750385613,-6.62132361683555
"sub-138",0.57,-1.7,2.96,-0.17,23.1063829787234,0.061336537948042,1.41726553641646
"sub-140",0.57,-0.74,0.95,-0.42,23.1063829787234,0.157774849852735,3.64560610510788
"sub-141",-0.43,0.51,-0.03,-0.91,31.1063829787234,0.076655074250061,2.38446209688488
"sub-142",-0.43,-0.16,0.41,1.53,25.1063829787234,0.140294967450029,3.52229918278796
"sub-143",-0.43,1.6,-0.25,-1.26,28.1063829787234,0.052781089104613,1.48348550440838
"sub-144",0.57,-2.07,1.86,-1.26,27.1063829787234,0.049798348150827,1.34985309668412
"sub-147",-0.43,-1,0.68,0.01,20.1063829787234,0.173892698974706,3.4963532027893
"sub-149",0.57,-0.94,1.68,-1.25,21.1063829787234,0.149408181485867,3.15346629859532
"sub-150",-0.43,-0.54,-0.21,0.64,-21.8936170212766,0.00385174959642301,-0.0843287305259421
"sub-151",-0.43,-1.12,1,-1.25,20.1063829787234,0.209041878935197,4.203076076463
"sub-152",0.57,-1.25,1.56,-1.26,21.1063829787234,0.0629001183997391,1.32759398835194
"sub-153",0.57,0.01,-0.61,-1.24,-15.8936170212766,-0.189057762165862,3.00481166676381
"sub-154",-0.43,0.28,0.06,0.32,22.1063829787234,1.68162592417394,37.1746667067387
"sub-155",0.57,0.9,-1.23,0.38,-14.8936170212766,-0.315340200748923,4.69655618136694
"sub-156",-0.43,-1.21,0.66,1.02,-14.8936170212766,0.0714343391251873,-1.06391568909853
"sub-157",0.57,-0.81,-0.33,0.2,-19.8936170212766,0.214795454550766,-4.27305851074396
"sub-158",0.57,-0.34,-0.65,1.02,-18.8936170212766,0.359957118729727,-6.80089194536164
"sub-159",-0.43,1.22,-1.18,-0.49,-20.8936170212766,0.0284314060721469,-0.594034909847836
