"participant_id","ismale","tsnr","fd_mean","RT","young","old","IN_OUT_epsilon_young","IN_OUT_epsilon_old"
"sub-104",0.57,0.34,-1.11,0.26,1,0,-0.000138570858318764,0
"sub-105",-0.43,1.44,-1.21,1.03,1,0,-0.000631340861777475,0
"sub-106",-0.43,0.84,-0.3,0.01,1,0,0.000522414281763023,0
"sub-107",0.57,0.47,-1.18,0.16,1,0,-0.00103737147297417,0
"sub-108",-0.43,0.42,-0.89,-1.25,1,0,0.000212887771894904,0
"sub-109",-0.43,0.68,-0.33,1.43,1,0,-9.55611848848402e-05,0
"sub-110",0.57,0.77,-1.29,-1.26,1,0,5.38822181880719e-05,0
"sub-111",0.57,-0.69,0.15,-1.25,0,1,0,-0.00142970882601305
"sub-112",-0.43,0.82,-0.93,0.99,1,0,0.000661029871210808,0
"sub-113",-0.43,-1.14,0.37,0.81,1,0,0.000285521320424996,0
"sub-115",-0.43,0.75,-0.52,0.94,1,0,2.9482772573869e-05,0
"sub-116",-0.43,-0.45,-0.46,0.18,1,0,0.000666525459979633,0
"sub-117",-0.43,1.08,-0.89,0.31,1,0,-2.21034068740803e-05,0
"sub-118",-0.43,-1.06,0.78,0.21,1,0,-0.000788507545222016,0
"sub-121",-0.43,1.82,-1.13,0.28,1,0,0.000429818994259792,0
"sub-122",-0.43,1.76,-1.01,1.49,1,0,-0.00025716304405868,0
"sub-124",0.57,0.75,-0.62,0.57,1,0,0.000314477358276864,0
"sub-125",-0.43,1.78,-1.06,1.67,1,0,-0.000299381082808803,0
"sub-126",0.57,-0.88,-0.42,0.36,1,0,-0.000109279581790566,0
"sub-127",-0.43,0.73,-0.59,0.8,0,1,0,0.000664883536271197
"sub-128",0.57,0.35,0.35,-1.27,0,1,0,0.000617684845432512
"sub-129",0.57,-1.14,2.26,-1.26,0,1,0,0.000374000696140146
"sub-130",-0.43,-1.26,1.24,1.18,0,1,0,-5.23046798216063e-05
"sub-132",-0.43,-0.11,-0.01,1.63,0,1,0,1.11591259236788e-05
"sub-133",0.57,1.06,0.05,0.91,0,1,0,-0.000107600218130361
"sub-134",-0.43,-0.77,0.12,-1.25,0,1,0,-8.00059979351024e-05
"sub-135",0.57,-0.65,1.02,-1.25,0,1,0,0.000620662725013113
"sub-136",-0.43,0.22,-0.47,-1.24,0,1,0,6.27186605545017e-05
"sub-137",0.57,-0.55,0.79,-0.79,0,1,0,0.000692329393302943
"sub-138",0.57,-1.7,2.96,-0.17,0,1,0,-0.000370839466227441
"sub-140",0.57,-0.74,0.95,-0.42,0,1,0,-0.000131528008095591
"sub-141",-0.43,0.51,-0.03,-0.91,0,1,0,-7.15731589065443e-05
"sub-142",-0.43,-0.16,0.41,1.53,0,1,0,5.16620964876359e-05
"sub-143",-0.43,1.6,-0.25,-1.26,0,1,0,-0.000101575832966309
"sub-144",0.57,-2.07,1.86,-1.26,0,1,0,-5.49667996349213e-05
"sub-147",-0.43,-1,0.68,0.01,0,1,0,0.000333860966998542
"sub-149",0.57,-0.94,1.68,-1.25,0,1,0,-0.000365253771261299
"sub-150",-0.43,-0.54,-0.21,0.64,1,0,-0.00208358214009591,0
"sub-151",-0.43,-1.12,1,-1.25,0,1,0,0.000596589603680455
"sub-152",0.57,-1.25,1.56,-1.26,0,1,0,-0.00011972336420961
"sub-153",0.57,0.01,-0.61,-1.24,1,0,0.000641478827953816,0
"sub-154",-0.43,0.28,0.06,0.32,0,1,0,0.000897862667616952
"sub-155",0.57,0.9,-1.23,0.38,1,0,0.000742124867316014,0
"sub-156",-0.43,-1.21,0.66,1.02,1,0,-4.39661840608532e-05,0
"sub-157",0.57,-0.81,-0.33,0.2,1,0,0.000332317298075353,0
"sub-158",0.57,-0.34,-0.65,1.02,1,0,8.36245215705207e-05,0
"sub-159",-0.43,1.22,-1.18,-0.49,1,0,-0.00150709239484134,0
