subjID	offer	accept	response_time	human	ingroup	block_fair
sub-106	3	0	1.06745	1	0	0
sub-106	2	0	0.56093	1	0	0
sub-106	4	0	0.42044	1	0	0
sub-106	2	0	0.54413	1	0	0
sub-106	4	0	0.494	1	0	0
sub-106	6	1	0.78594	1	0	0
sub-106	4	0	0.25812	1	0	0
sub-106	10	1	0.34166	1	0	0
sub-106	7	1	0.48668	0	0	1
sub-106	8	1	0.36464	0	0	1
sub-106	9	1	0.40875	0	0	1
sub-106	8	1	0.41926	0	0	1
sub-106	9	1	0.29739	0	0	1
sub-106	5	0	0.43155	0	0	1
sub-106	4	0	0.51137	0	0	1
sub-106	7	1	0.27478	0	0	1
sub-106	9	1	0.27622	1	1	1
sub-106	10	1	0.36399	1	1	1
sub-106	2	0	0.0890299999999999	1	1	1
sub-106	10	1	0.31823	1	1	1
sub-106	7	1	0.38061	1	1	1
sub-106	8	1	0.30179	1	1	1
sub-106	8	1	0.22531	1	1	1
sub-106	5	0	0.41223	1	1	1
sub-106	2	0	0.54624	0	0	0
sub-106	4	0	0.33995	0	0	0
sub-106	1	0	0.02681	0	0	0
sub-106	8	1	0.52964	0	0	0
sub-106	1	0	0.0317700000000001	0	0	0
sub-106	6	0	0.47249	0	0	0
sub-106	2	0	0.0329600000000001	0	0	0
sub-106	1	0	0.33519	0	0	0
sub-106	3	0	0.37831	1	0	0
sub-106	4	0	0.38636	1	0	0
sub-106	5	0	0.0247200000000001	1	0	0
sub-106	9	1	0.26125	1	0	0
sub-106	2	0	0.28887	1	0	0
sub-106	1	0	0.02538	1	0	0
sub-106	1	0	0.02058	1	0	0
sub-106	1	0	0.0280199999999999	1	0	0
sub-106	5	0	0.4877	1	1	0
sub-106	3	0	0.58459	1	1	0
sub-106	1	0	0.2615	1	1	0
sub-106	1	0	0.36031	1	1	0
sub-106	2	0	0.16563	1	1	0
sub-106	7	1	0.51088	1	1	0
sub-106	4	0	0.30687	1	1	0
sub-106	1	0	0.38429	1	1	0
sub-106	7	1	0.48313	1	1	1
sub-106	7	1	0.02264	1	1	1
sub-106	9	1	1.1757	1	1	1
sub-106	7	1	0.0724499999999999	1	1	1
sub-106	9	1	0.56845	1	1	1
sub-106	2	0	0.55138	1	1	1
sub-106	8	1	0.44993	1	1	1
sub-106	6	0	0.38192	1	1	1
sub-106	4	0	0.5413	0	0	0
sub-106	2	0	0.02301	0	0	0
sub-106	7	0	1.3023	0	0	0
sub-106	2	0	0.26552	0	0	0
sub-106	3	0	0.0261800000000001	0	0	0
sub-106	2	0	0.09934	0	0	0
sub-106	6	0	0.28159	0	0	0
sub-106	5	0	0.1101	1	1	0
sub-106	4	0	0.27222	1	1	0
sub-106	2	0	0.16523	0	0	0
sub-106	10	1	0.69445	0	0	0
sub-106	1	0	0.45478	0	0	0
sub-106	1	0	0.32531	0	0	0
sub-106	1	0	0.61759	0	0	0
sub-106	1	0	0.02362	0	0	0
sub-106	6	0	0.75257	0	0	0
sub-106	4	0	0.0173099999999999	0	0	0
sub-106	4	0	0.23688	1	1	0
sub-106	4	0	0.03162	1	1	0
sub-106	4	0	0.0184800000000001	1	1	0
sub-106	1	0	0.01878	1	1	0
sub-109	8	1	1.01899	1	0	1
sub-109	10	1	0.71702	1	0	1
sub-109	8	1	0.60508	1	0	1
sub-109	10	1	0.76476	1	0	1
sub-109	2	1	1.34071	1	0	1
sub-109	8	1	0.8808	1	0	1
sub-109	2	1	1.1094	0	0	0
sub-109	6	1	0.4146	0	0	0
sub-109	1	0	1.78265	1	0	0
sub-109	2	1	0.99855	1	0	0
sub-109	8	1	0.77617	1	0	0
sub-109	2	1	0.47303	1	0	0
sub-109	3	1	0.51062	1	0	0
sub-109	6	1	1.06013	1	1	1
sub-109	8	1	1.5469	1	1	1
sub-109	9	1	0.5428	1	1	1
sub-109	10	1	1.02079	1	1	1
sub-109	7	1	0.90987	1	1	1
sub-109	4	1	0.38709	1	1	1
sub-109	9	1	0.35057	1	1	1
sub-109	2	1	1.31259	1	0	1
sub-109	8	1	1.03626	1	0	1
sub-109	6	1	0.76573	1	0	1
sub-109	10	1	0.93301	1	0	1
sub-109	7	1	0.25397	1	0	1
sub-109	9	1	0.40647	1	0	1
sub-109	10	1	1.06098	1	0	1
sub-109	3	1	1.56351	1	0	0
sub-109	4	1	0.70283	1	0	0
sub-109	7	1	0.34356	1	0	0
sub-109	3	1	1.85633	1	0	0
sub-109	2	1	0.38246	1	0	0
sub-109	4	1	1.51582	1	0	0
sub-109	2	1	0.36619	1	0	0
sub-109	3	1	1.34722	1	1	0
sub-109	10	1	0.77781	1	1	0
sub-109	1	1	1.18504	1	1	0
sub-109	1	0	0.40646	1	1	0
sub-109	2	1	0.45965	1	1	0
sub-109	3	1	1.18244	1	1	0
sub-109	4	1	1.171	1	1	0
sub-109	10	1	0.70326	0	0	1
sub-109	9	1	0.83959	0	0	1
sub-109	10	1	0.59654	0	0	1
sub-109	7	1	1.08851	0	0	1
sub-109	6	1	0.11771	0	0	1
sub-109	10	1	0.49095	0	0	1
sub-109	9	1	0.40792	0	0	1
sub-109	6	1	1.21521	1	1	0
sub-109	1	0	0.17271	1	1	0
sub-109	9	1	0.70886	1	1	0
sub-109	1	0	0.3381	1	1	0
sub-109	2	1	0.50739	1	1	0
sub-109	1	0	0.82401	1	1	0
sub-109	1	0	1.48628	1	1	0
sub-109	10	1	0.26931	0	0	1
sub-109	8	1	0.68549	0	0	1
sub-109	10	1	0.22725	0	0	1
sub-109	6	1	0.66974	0	0	1
sub-109	7	1	0.0255399999999999	0	0	1
sub-109	7	1	0.90758	0	0	1
sub-109	7	1	1.58041	1	0	1
sub-109	7	1	0.39774	1	0	1
sub-109	1	0	0.27585	1	0	1
sub-109	8	1	0.37722	1	0	1
sub-109	7	1	1.81049	1	0	1
sub-109	10	1	0.43227	1	0	1
sub-109	7	1	0.30862	1	0	1
sub-109	6	1	0.06566	1	0	1
sub-109	1	1	1.63344	0	0	0
sub-109	6	1	0.1553	1	1	0
sub-109	4	1	0.17562	1	1	0
sub-109	4	1	0.0312399999999999	1	1	0
sub-109	1	0	1.08836	1	1	0
sub-109	4	0	1.7197	0	0	0
sub-109	3	1	0.81948	0	0	0
sub-109	2	1	1.03162	0	0	0
sub-109	1	0	0.11661	0	0	0
sub-109	3	1	0.55716	0	0	0
sub-109	5	1	0.33258	0	0	0
sub-109	8	1	1.74822	0	0	0
sub-109	1	0	0.40292	0	0	0
sub-109	8	1	1.18707	1	1	1
sub-109	9	1	1.09472	1	1	1
sub-109	8	1	0.43019	1	1	1
sub-109	3	1	1.57411	1	1	1
sub-109	9	1	0.48947	1	0	0
sub-110	3	0	0.18654	1	0	0
sub-110	5	1	0.0281199999999999	1	0	0
sub-110	9	1	0.01695	1	0	0
sub-110	2	0	0.02383	1	0	0
sub-110	1	0	0.03095	1	0	0
sub-110	2	1	0.0173399999999999	1	0	0
sub-110	1	0	0.02118	1	0	0
sub-110	3	0	0.03061	1	0	0
sub-110	7	1	0.0517399999999999	0	0	1
sub-110	9	1	0.0281800000000001	0	0	1
sub-110	9	1	0.0177700000000001	0	0	1
sub-110	9	1	0.0262800000000001	0	0	1
sub-110	2	1	0.03068	0	0	1
sub-110	10	1	0.0196000000000001	0	0	1
sub-110	8	1	0.0268900000000001	0	0	1
sub-110	9	1	0.0288900000000001	1	0	1
sub-110	8	1	0.0226200000000001	1	1	1
sub-110	9	1	0.0200199999999999	1	1	1
sub-110	8	1	0.0592699999999999	1	1	1
sub-110	8	1	0.0312600000000001	1	1	1
sub-110	3	0	0.0189600000000001	1	1	1
sub-110	5	1	0.02671	1	1	1
sub-110	8	1	0.0324500000000001	1	1	1
sub-110	10	1	0.0276700000000001	1	0	1
sub-110	5	1	0.0166599999999999	1	1	1
sub-110	8	1	0.0225200000000001	1	1	1
sub-110	7	1	0.0291399999999999	1	1	1
sub-110	7	1	0.03193	1	1	1
sub-110	8	1	0.02179	1	1	1
sub-110	9	1	0.0285	1	1	1
sub-110	4	0	0.02302	1	1	0
sub-110	4	0	0.03128	1	1	0
sub-110	6	1	0.06274	1	0	0
sub-110	2	0	0.0214300000000001	1	0	0
sub-110	7	1	0.02813	1	0	0
sub-110	1	0	0.03342	1	0	0
sub-110	3	0	0.0235099999999999	1	0	0
sub-110	1	0	0.0289200000000001	1	0	0
sub-110	4	1	0.0206599999999999	1	0	0
sub-110	4	0	0.02247	0	0	0
sub-110	8	1	0.02738	1	0	1
sub-110	9	1	0.0302100000000001	1	0	1
sub-110	3	0	0.03311	0	0	0
sub-110	5	1	0.0242599999999999	0	0	0
sub-110	2	0	0.0314399999999999	0	0	0
sub-110	2	0	0.0325800000000001	0	0	0
sub-110	4	0	0.0256099999999999	0	0	0
sub-110	2	0	0.03088	0	0	0
sub-110	8	1	0.0187900000000001	0	0	0
sub-110	1	0	0.02607	0	0	0
sub-110	10	1	0.0237799999999999	1	1	0
sub-110	5	1	0.0315099999999999	1	1	0
sub-110	3	0	0.01827	1	1	0
sub-110	4	1	0.02075	1	1	0
sub-110	3	0	0.1808	1	1	0
sub-110	1	0	0.02031	1	1	0
sub-110	1	0	0.0281400000000001	1	1	0
sub-110	4	0	0.01719	1	1	0
sub-110	3	1	0.02292	0	0	0
sub-110	8	1	0.03094	0	0	0
sub-110	4	0	0.0206500000000001	0	0	0
sub-110	5	1	0.02908	0	0	0
sub-110	1	0	0.03209	0	0	0
sub-110	1	0	0.02044	0	0	0
sub-110	1	0	0.0332699999999999	0	0	0
sub-110	2	1	0.04542	1	0	0
