subjID	offer	accept	response_time	human	ingroup	block_fair
sub-106	9	1	1.276220	1	1	1
sub-106	10	1	1.363990	1	1	1
sub-106	2	0	1.089030	1	1	1
sub-106	10	1	1.318230	1	1	1
sub-106	7	1	1.380610	1	1	1
sub-106	8	1	1.301790	1	1	1
sub-106	8	1	1.225310	1	1	1
sub-106	5	0	1.412230	1	1	1
sub-106	9	1	1.417900	1	1	1
sub-106	9	1	1.322590	1	1	1
sub-106	9	1	1.020850	1	1	1
sub-106	6	0	1.547580	1	1	1
sub-106	7	1	1.416830	1	1	1
sub-106	10	1	1.031280	1	1	1
sub-106	4	0	1.063820	1	1	1
sub-106	7	1	1.320730	1	1	1
sub-106	5	0	1.487700	1	1	0
sub-106	3	0	1.584590	1	1	0
sub-106	1	0	1.261500	1	1	0
sub-106	1	0	1.360310	1	1	0
sub-106	2	0	1.165630	1	1	0
sub-106	7	1	1.510880	1	1	0
sub-106	4	0	1.306870	1	1	0
sub-106	1	0	1.384290	1	1	0
sub-106	7	1	1.483130	1	1	1
sub-106	7	1	1.022640	1	1	1
sub-106	9	1	2.175700	1	1	1
sub-106	7	1	1.072450	1	1	1
sub-106	9	1	1.568450	1	1	1
sub-106	2	0	1.551380	1	1	1
sub-106	8	1	1.449930	1	1	1
sub-106	6	0	1.381920	1	1	1
sub-106	4	0	1.289200	1	1	0
sub-106	3	0	1.026800	1	1	0
sub-106	8	1	1.159100	1	1	0
sub-106	2	0	1.018410	1	1	0
sub-106	3	0	1.021520	1	1	0
sub-106	1	0	1.333340	1	1	0
sub-106	5	0	1.110100	1	1	0
sub-106	4	0	1.272220	1	1	0
sub-106	4	0	1.236880	1	1	0
sub-106	4	0	1.031620	1	1	0
sub-106	4	0	1.018480	1	1	0
sub-106	1	0	1.018780	1	1	0
sub-106	4	0	1.686900	1	1	0
sub-106	6	0	1.156630	1	1	0
sub-106	8	1	1.928430	1	1	0
sub-106	2	0	1.025180	1	1	0
sub-109	10	1	2.444220	1	1	1
