participant_id,ismale,tsnr,fd_mean,RT
sub-104,0.57,0.34,-1.11,0.26
sub-105,-0.43,1.44,-1.21,1.03
sub-106,-0.43,0.84,-0.3,0.01
sub-107,0.57,0.47,-1.18,0.16
sub-108,-0.43,0.42,-0.89,-1.25
sub-109,-0.43,0.68,-0.33,1.43
sub-110,0.57,0.77,-1.29,-1.26
sub-111,0.57,-0.69,0.15,-1.25
sub-112,-0.43,0.82,-0.93,0.99
sub-113,-0.43,-1.14,0.37,0.81
sub-115,-0.43,0.75,-0.52,0.94
sub-116,-0.43,-0.45,-0.46,0.18
sub-117,-0.43,1.08,-0.89,0.31
sub-118,-0.43,-1.06,0.78,0.21
sub-121,-0.43,1.82,-1.13,0.28
sub-122,-0.43,1.76,-1.01,1.49
sub-124,0.57,0.75,-0.62,0.57
sub-125,-0.43,1.78,-1.06,1.67
sub-126,0.57,-0.88,-0.42,0.36
sub-127,-0.43,0.73,-0.59,0.8
sub-128,0.57,0.35,0.35,-1.27
sub-129,0.57,-1.14,2.26,-1.26
sub-130,-0.43,-1.26,1.24,1.18
sub-132,-0.43,-0.11,-0.01,1.63
sub-133,0.57,1.06,0.05,0.91
sub-134,-0.43,-0.77,0.12,-1.25
sub-135,0.57,-0.65,1.02,-1.25
sub-136,-0.43,0.22,-0.47,-1.24
sub-137,0.57,-0.55,0.79,-0.79
sub-138,0.57,-1.7,2.96,-0.17
sub-140,0.57,-0.74,0.95,-0.42
sub-141,-0.43,0.51,-0.03,-0.91
sub-142,-0.43,-0.16,0.41,1.53
sub-143,-0.43,1.6,-0.25,-1.26
sub-144,0.57,-2.07,1.86,-1.26
sub-147,-0.43,-1,0.68,0.01
sub-149,0.57,-0.94,1.68,-1.25
sub-150,-0.43,-0.54,-0.21,0.64
sub-151,-0.43,-1.12,1,-1.25
sub-152,0.57,-1.25,1.56,-1.26
sub-153,0.57,0.01,-0.61,-1.24
sub-154,-0.43,0.28,0.06,0.32
sub-155,0.57,0.9,-1.23,0.38
sub-156,-0.43,-1.21,0.66,1.02
sub-157,0.57,-0.81,-0.33,0.2
sub-158,0.57,-0.34,-0.65,1.02
sub-159,-0.43,1.22,-1.18,-0.49
