result_id	domain	claim_or_output	sample_or_inputs	model_or_contrast	source	status	revision_action
behav-primary	behavior	Age x Offer x Partner Similarity on acceptance	47 participants; 4439 responded human-partner trials	accept ~ centered_offer * age_group * similarity + (1 + centered_offer | participant)	behavioral_analyses/data/all_trials_brains.csv; participant_L3_47.csv; submitted manuscript	established-submitted; maximal-refit-revision	Report converged maximal model with estimate, SE, z, p, CI, N; retain random-intercept robustness
behav-sensitivity-submitted	behavior	Individual fairness sensitivity	47 participants	Similar offer slope minus dissimilar offer slope from separate logistic mixed models	behavioral_analyses/data/in_out_sensitivity_indiv_logit.csv	established-submitted	Reproduce to numerical tolerance and label as submitted operationalization
behav-sensitivity-unified	behavior	Offer x Similarity participant slope	47 participants; 4439 trials	Single logistic mixed model with uncorrelated random interaction slope	code/analyze_reviewer_behavior.R	revision-analysis	Report fixed interaction, slope variance, distribution, and correlation with submitted score
behav-misses	behavior	Missed trials by age and partner	47 participants; 6768 trials	Descriptive participant totals plus Welch test by age	BIDS ultimatum events; code/audit_task_events.py	revision-analysis	Recover missed partner from block; report denominator and uncertainty
behav-rt	behavior	Response-selection latency by age and partner similarity	47 participants; responded human-partner trials	response_time ~ age_group * similarity + (1 + similarity | participant)	BIDS events; cleaned behavioral table; task source	revision-analysis	Clarify the one-second response-choice delay and provide exact table
behav-acceptance-curves	behavior	Model-implied acceptance across offer and similarity	47 participants	Predictions from primary maximal logistic mixed model	code/analyze_reviewer_behavior.R	revision-figure	Export source data and figure
behav-ratings	behavior	Partner ratings pre/post	Available rating logs in 47-participant sample	Descriptive and paired human-partner comparisons	bids/stimuli/psychopy/logs	revision-analysis	Report completeness; do not equate ratings with belief-manipulation success
img-dmn-age	imaging	Younger > older similar-minus-dissimilar offer-modulated DMN connectivity	47 participant L2 cope7 maps	FLAME 1+2; young, old, sex, tSNR, FD, RT	masks_SANS/dmn_p_in-out_y-o.nii.gz; imaging_plots_SANS; L3 template	established-submitted; provenance-partly-unresolved	Audit exact production FSF/header/cluster table; run approved robustness checks on server
img-ecn-sensitivity	imaging	Age difference in sensitivity association with similar-minus-dissimilar ECN connectivity	47 participant L2 cope7 maps	FLAME 1+2 with sex, tSNR, FD, RT and group-specific sensitivity EVs	masks_SANS/ecn_p_in-out_o-y_sens-logit.nii.gz; imaging_plots_SANS; L3 sensitivity template	established-submitted; provenance-partly-unresolved	Audit collinearity, exact parameterization, cluster table, and image-level robustness on server
img-activation	imaging	Age/sensitivity activation contrast	47 participant L2 cope7 maps	FLAME 1+2 with nuisance covariates and behavioral covariate	masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	established-secondary	Trace exact production result and align manuscript framing
img-main-effects	imaging	Task and connectivity main effects	47 participants	Existing first-level contrasts and group means	model-02 activation and nPPI templates	reviewer-requested	Inventory existing outputs; estimate only if missing and approved on server
img-simple-effects	imaging	Within-age effects for focal contrasts	47 participants	Existing group design or new explicit contrasts after design audit	L3 templates and production design files	reviewer-requested	Verify contrast estimability and execute versioned server analysis if required
img-computer	imaging	Social-partner versus computer effects	47 participants	Activation contrasts 8 and 10; connectivity equivalent requires audit	L1 model-02 templates	reviewer-requested	Recover existing maps/tables and describe computer condition limitations
img-influence	imaging	Participant influence on focal results	47 participants	Descriptive ROI diagnostic; proposed image-level leave-one-out	imaging_plots_SANS; code audit	revision-analysis	Do not exclude based on selected ROI; perform approved image-level sensitivity on server
